id_conce;dia;mes;qt_acidentes;id_risco
7;1;2;20;1
7;1;3;4;1
7;1;3;1;3
7;1;4;12;1
7;1;4;1;2
7;1;4;1;3
7;1;5;7;1
7;1;6;16;1
7;1;7;13;1
7;1;7;3;2
7;1;7;1;3
7;1;8;25;1
7;1;8;2;2
7;1;9;8;1
7;1;9;1;2
7;1;10;14;1
7;1;10;1;2
7;1;10;2;3
7;1;11;9;1
7;1;12;18;1
7;1;12;1;2
7;1;12;1;3
7;2;1;10;1
7;2;2;17;1
7;2;2;1;3
7;2;3;8;1
7;2;4;10;1
7;2;4;3;2
7;2;5;8;1
7;2;6;20;1
7;2;6;2;2
7;2;6;3;3
7;2;7;8;1
7;2;8;11;1
7;2;8;3;3
7;2;9;10;1
7;2;9;2;2
7;2;10;17;1
7;2;10;4;3
7;2;11;6;1
7;2;11;1;3
7;2;12;24;1
7;2;12;1;3
7;3;1;6;1
7;3;2;18;1
7;3;2;2;3
7;3;3;5;1
7;3;4;13;1
7;3;5;12;1
7;3;5;1;2
7;3;6;10;1
7;3;6;3;2
7;3;7;18;1
7;3;7;1;2
7;3;7;1;3
7;3;8;19;1
7;3;9;14;1
7;3;9;2;2
7;3;10;20;1
7;3;10;2;2
7;3;11;13;1
7;3;11;2;2
7;3;12;18;1
7;3;12;3;2
7;4;1;7;1
7;4;2;23;1
7;4;3;14;1
7;4;3;1;2
7;4;4;13;1
7;4;4;2;2
7;4;4;2;3
7;4;5;16;1
7;4;6;13;1
7;4;6;1;2
7;4;7;9;1
7;4;7;1;2
7;4;7;3;3
7;4;8;19;1
7;4;8;3;2
7;4;8;1;3
7;4;9;10;1
7;4;9;1;2
7;4;10;24;1
7;4;11;18;1
7;4;11;1;3
7;4;12;15;1
7;5;1;14;1
7;5;2;14;1
7;5;2;2;3
7;5;3;5;1
7;5;4;6;1
7;5;4;2;2
7;5;5;15;1
7;5;5;1;2
7;5;6;8;1
7;5;7;12;1
7;5;7;3;2
7;5;8;19;1
7;5;8;6;2
7;5;9;16;1
7;5;9;3;3
7;5;10;21;1
7;5;10;1;2
7;5;11;9;1
7;5;11;1;2
7;5;11;1;3
7;5;12;22;1
7;5;12;1;2
7;6;1;13;1
7;6;2;7;1
7;6;3;13;1
7;6;4;12;1
7;6;4;2;3
7;6;5;10;1
7;6;5;5;2
7;6;6;24;1
7;6;6;1;2
7;6;7;18;1
7;6;7;1;2
7;6;8;20;1
7;6;9;12;1
7;6;9;4;2
7;6;10;14;1
7;6;10;1;2
7;6;11;15;1
7;6;12;19;1
7;7;1;13;1
7;7;2;16;1
7;7;2;1;2
7;7;3;16;1
7;7;3;2;2
7;7;3;1;3
7;7;4;15;1
7;7;5;13;1
7;7;5;2;2
7;7;6;7;1
7;7;6;1;2
7;7;7;18;1
7;7;7;3;2
7;7;7;1;3
7;7;8;20;1
7;7;8;3;2
7;7;8;2;3
7;7;9;11;1
7;7;9;2;2
7;7;10;17;1
7;7;11;22;1
7;7;12;18;1
7;8;1;4;1
7;8;2;12;1
7;8;2;1;2
7;8;2;1;3
7;8;3;14;1
7;8;3;2;2
7;8;4;14;1
7;8;4;1;2
7;8;5;10;1
7;8;5;1;2
7;8;6;24;1
7;8;7;16;1
7;8;7;2;2
7;8;8;11;1
7;8;8;2;3
7;8;9;12;1
7;8;9;4;2
7;8;10;20;1
7;8;11;23;1
7;8;11;3;2
7;8;11;4;3
7;8;12;10;1
7;8;12;2;2
7;9;1;7;1
7;9;2;7;1
7;9;2;1;2
7;9;2;1;3
7;9;3;9;1
7;9;3;2;2
7;9;4;9;1
7;9;4;3;2
7;9;5;18;1
7;9;5;1;2
7;9;6;22;1
7;9;6;2;2
7;9;7;10;1
7;9;8;16;1
7;9;8;2;2
7;9;9;4;1
7;9;10;10;1
7;9;10;2;3
7;9;11;19;1
7;9;11;3;2
7;9;12;18;1
7;9;12;3;2
7;10;1;16;1
7;10;1;3;2
7;10;2;6;1
7;10;2;1;3
7;10;3;20;1
7;10;3;2;2
7;10;4;9;1
7;10;4;1;3
7;10;5;8;1
7;10;5;2;2
7;10;6;24;1
7;10;6;2;2
7;10;7;13;1
7;10;7;4;2
7;10;7;1;3
7;10;8;21;1
7;10;8;2;3
7;10;9;11;1
7;10;10;15;1
7;10;11;9;1
7;10;11;1;2
7;10;12;19;1
7;10;12;2;2
7;11;1;17;1
7;11;2;15;1
7;11;2;2;3
7;11;3;11;1
7;11;4;17;1
7;11;4;7;2
7;11;4;2;3
7;11;5;26;1
7;11;5;1;2
7;11;6;15;1
7;11;6;2;2
7;11;6;1;3
7;11;7;14;1
7;11;8;24;1
7;11;8;1;2
7;11;9;17;1
7;11;9;3;2
7;11;9;1;3
7;11;10;9;1
7;11;10;4;2
7;11;11;8;1
7;11;12;11;1
7;11;12;1;2
7;12;1;14;1
7;12;1;2;2
7;12;2;13;1
7;12;3;16;1
7;12;4;11;1
7;12;5;22;1
7;12;5;1;2
7;12;6;20;1
7;12;6;5;2
7;12;7;8;1
7;12;7;3;2
7;12;7;1;3
7;12;8;16;1
7;12;9;14;1
7;12;9;1;2
7;12;10;7;1
7;12;11;15;1
7;12;12;21;1
7;12;12;1;2
7;13;1;6;1
7;13;1;2;2
7;13;2;1;2
7;13;3;16;1
7;13;4;12;1
7;13;4;1;2
7;13;5;16;1
7;13;6;14;1
7;13;6;1;2
7;13;7;15;1
7;13;8;20;1
7;13;9;14;1
7;13;9;1;2
7;13;10;11;1
7;13;10;2;2
7;13;11;20;1
7;13;12;25;1
7;13;12;6;2
7;13;12;2;3
7;14;1;15;1
7;14;1;1;2
7;14;2;10;1
7;14;3;8;1
7;14;3;2;2
7;14;4;15;1
7;14;4;1;2
7;14;5;12;1
7;14;5;4;2
7;14;6;15;1
7;14;6;1;3
7;14;7;14;1
7;14;7;2;2
7;14;8;14;1
7;14;9;17;1
7;14;9;2;2
7;14;10;5;1
7;14;11;16;1
7;14;11;2;2
7;14;12;11;1
7;15;1;11;1
7;15;1;1;2
7;15;2;13;1
7;15;2;1;2
7;15;3;17;1
7;15;3;3;2
7;15;4;23;1
7;15;4;2;2
7;15;5;8;1
7;15;5;2;2
7;15;5;1;3
7;15;6;8;1
7;15;6;1;2
7;15;7;16;1
7;15;8;11;1
7;15;9;17;1
7;15;9;1;3
7;15;10;13;1
7;15;11;8;1
7;15;11;3;2
7;15;12;16;1
7;15;12;2;2
7;15;12;2;3
7;16;1;9;1
7;16;1;4;2
7;16;1;1;3
7;16;2;12;1
7;16;2;1;3
7;16;3;16;1
7;16;3;1;2
7;16;3;3;3
7;16;4;14;1
7;16;5;12;1
7;16;6;15;1
7;16;7;13;1
7;16;8;12;1
7;16;9;16;1
7;16;9;2;2
7;16;10;11;1
7;16;11;15;1
7;16;11;3;2
7;16;11;1;3
7;16;12;28;1
7;17;1;25;1
7;17;1;2;2
7;17;2;7;1
7;17;2;1;2
7;17;3;8;1
7;17;3;3;3
7;17;4;17;1
7;17;4;2;3
7;17;5;13;1
7;17;6;23;1
7;17;6;4;2
7;17;7;13;1
7;17;7;1;3
7;17;8;17;1
7;17;8;5;2
7;17;9;23;1
7;17;10;10;1
7;17;11;8;1
7;17;12;20;1
7;17;12;1;3
7;18;1;11;1
7;18;2;9;1
7;18;2;3;2
7;18;2;2;3
7;18;3;12;1
7;18;4;16;1
7;18;4;1;2
7;18;5;19;1
7;18;6;21;1
7;18;6;1;3
7;18;7;6;1
7;18;8;18;1
7;18;8;3;2
7;18;9;20;1
7;18;9;1;2
7;18;10;18;1
7;18;10;1;2
7;18;11;5;1
7;18;12;35;1
7;18;12;2;3
7;19;1;14;1
7;19;2;20;1
7;19;2;2;3
7;19;3;5;1
7;19;3;2;2
7;19;4;10;1
7;19;4;2;2
7;19;5;18;1
7;19;5;1;2
7;19;6;17;1
7;19;7;14;1
7;19;8;8;1
7;19;9;21;1
7;19;10;15;1
7;19;10;2;2
7;19;11;12;1
7;19;11;2;2
7;19;12;12;1
7;19;12;2;2
7;20;1;20;1
7;20;2;10;1
7;20;2;1;2
7;20;3;10;1
7;20;4;13;1
7;20;5;11;1
7;20;5;1;2
7;20;6;15;1
7;20;6;3;2
7;20;7;15;1
7;20;7;2;2
7;20;7;3;3
7;20;8;22;1
7;20;8;1;2
7;20;9;7;1
7;20;9;1;2
7;20;10;14;1
7;20;10;1;2
7;20;11;17;1
7;20;11;2;2
7;20;12;35;1
7;20;12;6;2
7;21;1;11;1
7;21;1;3;2
7;21;2;10;1
7;21;3;7;1
7;21;4;5;1
7;21;4;2;2
7;21;5;11;1
7;21;5;1;2
7;21;6;19;1
7;21;6;1;2
7;21;7;17;1
7;21;7;3;2
7;21;8;17;1
7;21;9;13;1
7;21;10;16;1
7;21;11;20;1
7;21;12;13;1
7;21;12;1;3
7;22;1;17;1
7;22;1;2;2
7;22;2;11;1
7;22;3;17;1
7;22;4;11;1
7;22;5;6;1
7;22;6;24;1
7;22;6;2;3
7;22;7;18;1
7;22;7;1;2
7;22;8;16;1
7;22;8;1;2
7;22;9;21;1
7;22;10;12;1
7;22;11;16;1
7;22;12;12;1
7;22;12;2;2
7;23;1;13;1
7;23;1;1;2
7;23;1;2;3
7;23;2;20;1
7;23;2;1;2
7;23;3;12;1
7;23;3;4;2
7;23;4;7;1
7;23;5;13;1
