id_conce;dia;mes;qt_acidentes;id_risco
6;1;1;3;1
6;1;2;20;1
6;1;2;3;2
6;1;2;1;3
6;1;3;25;1
6;1;3;4;2
6;1;4;28;1
6;1;4;2;2
6;1;4;1;3
6;1;5;13;1
6;1;5;2;2
6;1;5;1;3
6;1;6;21;1
6;1;6;2;2
6;1;7;19;1
6;1;7;3;2
6;1;8;32;1
6;1;8;1;2
6;1;9;23;1
6;1;10;29;1
6;1;10;1;2
6;1;11;27;1
6;1;11;1;3
6;1;12;26;1
6;1;12;4;2
6;1;12;1;3
6;2;1;16;1
6;2;1;2;3
6;2;2;39;1
6;2;2;2;2
6;2;2;2;3
6;2;3;21;1
6;2;3;2;2
6;2;4;22;1
6;2;5;19;1
6;2;5;1;3
6;2;6;24;1
6;2;6;3;2
6;2;7;16;1
6;2;7;2;2
6;2;8;28;1
6;2;8;2;3
6;2;9;29;1
6;2;9;2;2
6;2;10;35;1
6;2;10;6;2
6;2;10;1;3
6;2;11;19;1
6;2;12;16;1
6;2;12;3;2
6;2;12;1;3
6;3;1;17;1
6;3;1;3;2
6;3;2;29;1
6;3;2;1;2
6;3;3;19;1
6;3;3;4;2
6;3;4;35;1
6;3;4;2;2
6;3;5;18;1
6;3;5;9;2
6;3;5;2;3
6;3;6;22;1
6;3;6;2;2
6;3;7;18;1
6;3;8;21;1
6;3;9;25;1
6;3;9;1;2
6;3;10;24;1
6;3;10;4;2
6;3;10;4;3
6;3;11;14;1
6;3;12;19;1
6;3;12;4;2
6;3;12;1;3
6;4;1;20;1
6;4;2;27;1
6;4;2;1;2
6;4;3;17;1
6;4;3;1;2
6;4;3;2;3
6;4;4;20;1
6;4;4;4;2
6;4;5;19;1
6;4;5;2;2
6;4;6;21;1
6;4;6;1;2
6;4;7;15;1
6;4;7;2;2
6;4;8;23;1
6;4;8;1;2
6;4;8;1;3
6;4;9;21;1
6;4;9;1;2
6;4;9;2;3
6;4;10;27;1
6;4;10;2;2
6;4;11;17;1
6;4;11;2;3
6;4;12;21;1
6;4;12;4;2
6;5;1;22;1
6;5;1;1;3
6;5;2;23;1
6;5;3;29;1
6;5;3;1;2
6;5;3;2;3
6;5;4;22;1
6;5;4;2;2
6;5;5;19;1
6;5;5;1;2
6;5;6;20;1
6;5;6;5;2
6;5;7;29;1
6;5;8;30;1
6;5;9;34;1
6;5;9;3;2
6;5;10;22;1
6;5;10;2;3
6;5;11;24;1
6;5;11;3;2
6;5;12;41;1
6;5;12;2;2
6;6;1;14;1
6;6;1;7;2
6;6;2;24;1
6;6;2;4;2
6;6;3;27;1
6;6;3;2;2
6;6;4;14;1
6;6;5;18;1
6;6;6;28;1
6;6;6;3;2
6;6;6;1;3
6;6;7;32;1
6;6;7;3;2
6;6;8;8;1
6;6;9;16;1
6;6;9;2;2
6;6;9;1;3
6;6;10;29;1
6;6;10;1;2
6;6;10;2;3
6;6;11;25;1
6;6;11;2;2
6;6;12;32;1
6;6;12;4;2
6;6;12;2;3
6;7;1;19;1
6;7;1;1;2
6;7;2;24;1
6;7;2;7;2
6;7;2;2;3
6;7;3;18;1
6;7;3;3;2
6;7;3;1;3
6;7;4;23;1
6;7;4;2;2
6;7;5;18;1
6;7;5;1;2
6;7;6;17;1
6;7;6;2;2
6;7;7;19;1
6;7;7;1;2
6;7;8;14;1
6;7;8;2;3
6;7;9;26;1
6;7;9;1;2
6;7;10;27;1
6;7;10;5;2
6;7;10;1;3
6;7;11;29;1
6;7;11;3;2
6;7;12;27;1
6;7;12;1;2
6;8;1;18;1
6;8;1;3;2
6;8;1;1;3
6;8;2;25;1
6;8;2;2;2
6;8;3;13;1
6;8;4;19;1
6;8;4;2;2
6;8;4;3;3
6;8;5;26;1
6;8;5;1;2
6;8;6;20;1
6;8;6;4;2
6;8;7;18;1
6;8;7;3;2
6;8;7;4;3
6;8;8;8;1
6;8;8;4;2
6;8;9;10;1
6;8;10;25;1
6;8;10;2;2
6;8;11;27;1
6;8;11;4;2
6;8;12;36;1
6;8;12;2;2
6;9;1;28;1
6;9;1;3;2
6;9;2;21;1
6;9;2;2;2
6;9;2;2;3
6;9;3;29;1
6;9;3;1;2
6;9;4;19;1
6;9;5;22;1
6;9;5;1;2
6;9;6;20;1
6;9;6;4;2
6;9;7;15;1
6;9;7;4;2
6;9;8;27;1
6;9;9;18;1
6;9;9;4;2
6;9;10;29;1
6;9;10;4;3
6;9;11;19;1
6;9;11;1;2
6;9;12;22;1
6;10;1;31;1
6;10;1;2;2
6;10;1;1;3
6;10;2;26;1
6;10;2;2;2
6;10;3;16;1
6;10;4;17;1
6;10;4;2;2
6;10;5;30;1
6;10;5;4;2
6;10;6;19;1
6;10;6;2;2
6;10;7;16;1
6;10;7;4;2
6;10;8;28;1
6;10;8;5;2
6;10;9;23;1
6;10;9;3;2
6;10;9;3;3
6;10;10;20;1
6;10;10;5;2
6;10;10;1;3
6;10;11;31;1
6;10;11;1;2
6;10;12;32;1
6;10;12;1;2
6;11;1;25;1
6;11;2;22;1
6;11;2;3;2
6;11;2;3;3
6;11;3;20;1
6;11;3;6;2
6;11;4;23;1
6;11;4;5;2
6;11;4;1;3
6;11;5;20;1
6;11;5;1;2
6;11;6;24;1
6;11;6;1;2
6;11;6;1;3
6;11;7;19;1
6;11;7;2;2
6;11;8;22;1
6;11;8;2;2
6;11;8;1;3
6;11;9;20;1
6;11;9;4;2
6;11;10;35;1
6;11;10;4;2
6;11;11;20;1
6;11;11;5;2
6;11;12;37;1
6;11;12;1;2
6;12;1;25;1
6;12;2;28;1
6;12;2;4;2
6;12;3;34;1
6;12;3;2;2
6;12;4;24;1
6;12;4;3;2
6;12;5;25;1
6;12;5;3;2
6;12;6;23;1
6;12;7;25;1
6;12;7;3;2
6;12;8;20;1
6;12;9;16;1
6;12;9;4;2
6;12;9;5;3
6;12;10;12;1
6;12;11;42;1
6;12;11;3;2
6;12;12;37;1
6;12;12;2;2
6;13;1;16;1
6;13;1;8;2
6;13;2;19;1
6;13;2;1;2
6;13;3;26;1
6;13;4;34;1
6;13;5;19;1
6;13;5;2;3
6;13;6;19;1
6;13;6;2;2
6;13;7;15;1
6;13;8;26;1
6;13;8;1;2
6;13;9;18;1
6;13;9;6;2
6;13;10;12;1
6;13;10;2;2
6;13;11;36;1
6;13;11;4;2
6;13;11;1;3
6;13;12;25;1
6;14;1;38;1
6;14;1;2;2
6;14;2;18;1
6;14;2;3;2
6;14;2;6;3
6;14;3;31;1
6;14;3;3;2
6;14;4;19;1
6;14;5;15;1
6;14;5;1;2
6;14;6;15;1
6;14;7;20;1
6;14;7;4;2
6;14;8;27;1
6;14;8;1;2
6;14;9;24;1
6;14;9;4;2
6;14;10;15;1
6;14;11;21;1
6;14;11;3;2
6;14;11;2;3
6;14;12;32;1
6;14;12;2;2
6;15;1;37;1
6;15;1;2;2
6;15;1;4;3
6;15;2;23;1
6;15;3;14;1
6;15;4;18;1
6;15;4;1;2
6;15;5;29;1
6;15;5;2;3
6;15;6;35;1
6;15;7;20;1
6;15;7;2;3
6;15;8;34;1
6;15;8;1;2
6;15;9;35;1
6;15;9;5;2
6;15;9;2;3
6;15;10;29;1
6;15;10;2;2
6;15;10;1;3
6;15;11;31;1
6;15;11;2;2
6;15;12;33;1
6;16;1;36;1
6;16;1;4;2
6;16;2;20;1
6;16;2;1;2
6;16;3;36;1
6;16;3;1;2
6;16;4;23;1
6;16;4;4;2
6;16;5;39;1
6;16;5;3;2
6;16;6;21;1
6;16;6;2;2
6;16;7;21;1
6;16;7;1;2
6;16;8;15;1
6;16;8;4;2
6;16;9;18;1
6;16;9;4;2
6;16;10;22;1
6;16;10;1;2
6;16;11;14;1
6;16;11;1;2
6;16;12;13;1
6;16;12;3;2
6;16;12;6;3
6;17;1;29;1
6;17;1;2;2
6;17;2;27;1
6;17;2;2;2
6;17;3;14;1
6;17;3;1;2
6;17;4;23;1
6;17;4;6;2
6;17;5;21;1
6;17;5;1;2
6;17;6;20;1
6;17;6;1;2
6;17;7;31;1
6;17;8;17;1
6;17;9;14;1
6;17;9;4;2
6;17;10;34;1
6;17;11;17;1
6;17;12;31;1
6;17;12;2;2
6;17;12;2;3
6;18;1;26;1
6;18;1;1;2
6;18;1;2;3
6;18;2;18;1
6;18;2;1;2
6;18;3;11;1
6;18;3;2;2
6;18;4;31;1
6;18;4;3;2
6;18;5;40;1
6;18;6;24;1
6;18;6;8;2
6;18;7;17;1
6;18;7;3;2
6;18;8;25;1
6;18;8;2;3
6;18;9;11;1
6;18;9;5;2
6;18;10;30;1
6;18;10;4;2
6;18;11;21;1
6;18;11;1;2
6;18;12;30;1
6;18;12;5;2
6;19;1;19;1
6;19;1;2;2
6;19;2;16;1
6;19;2;2;2
6;19;2;2;3
6;19;3;11;1
6;19;3;1;2
6;19;3;2;3
6;19;4;25;1
6;19;4;2;2
6;19;5;12;1
6;19;5;2;2
6;19;5;2;3
6;19;6;28;1
6;19;7;29;1
6;19;7;3;2
6;19;8;23;1
6;19;8;4;2
6;19;9;26;1
6;19;9;3;2
6;19;9;2;3
6;19;10;15;1
6;19;10;2;2
6;19;10;1;3
6;19;11;10;1
6;19;12;25;1
6;20;1;26;1
6;20;1;2;2
6;20;2;26;1
6;20;2;3;2
6;20;3;32;1
6;20;3;3;2
6;20;4;16;1
6;20;4;4;2
6;20;5;34;1
6;20;5;1;2
6;20;6;14;1
6;20;6;3;2
6;20;7;14;1
6;20;8;28;1
6;20;8;4;2
6;20;8;2;3
6;20;9;21;1
6;20;10;47;1
6;20;10;2;2
6;20;11;25;1
6;20;11;1;2
6;20;12;51;1
6;20;12;4;2
6;20;12;1;3
6;21;1;35;1
6;21;1;3;2
6;21;2;23;1
6;21;2;5;2
6;21;3;36;1
6;21;3;5;2
6;21;3;4;3
6;21;4;27;1
6;21;4;1;2
6;21;4;1;3
6;21;5;22;1
6;21;5;1;2
6;21;5;3;3
6;21;6;17;1
6;21;7;20;1
6;21;7;2;3
6;21;8;19;1
6;21;9;23;1
6;21;9;2;2
6;21;10;17;1
6;21;11;17;1
6;21;12;44;1
6;21;12;1;2
6;22;1;32;1
6;22;1;2;2
6;22;2;23;1
6;22;2;1;2
6;22;2;1;3
