id_conce,dia;mes;qt_acidentes;id_risco
3;15;12;1;3
3;16;8;1;2
3;16;11;1;1
3;17;1;1;1
3;17;5;1;1
3;17;7;1;1
3;17;11;2;1
3;19;3;1;3
3;19;9;1;2
3;21;2;1;1
3;21;7;2;1
3;22;3;1;2
3;23;1;1;1
3;23;4;1;1
3;24;9;1;1
3;25;6;1;2
3;25;7;1;1
3;25;10;1;1
3;26;3;1;2
3;26;8;1;1
3;26;9;1;1
3;26;10;1;2
3;27;1;1;1
3;27;2;1;1
3;27;12;1;2
3;28;6;1;1
3;29;7;1;2
3;30;6;1;1
3;30;9;1;1
3;31;8;1;2
4;1;3;1;1
4;1;4;1;1
4;1;4;2;2
4;1;5;1;1
4;1;10;1;2
4;1;12;4;2
4;2;3;1;2
4;3;2;1;1
4;3;3;1;1
4;3;6;2;1
4;3;9;1;1
4;3;9;1;2
4;3;12;2;1
4;4;1;2;1
4;4;3;1;1
4;4;6;1;1
4;4;6;1;2
4;4;8;1;1
4;4;9;3;1
4;4;11;1;1
4;4;12;3;1
4;5;2;1;2
4;5;4;2;1
4;5;7;5;1
4;5;9;1;1
4;6;2;1;1
4;6;3;1;1
4;6;4;3;1
4;6;9;2;1
4;6;11;1;1
4;6;12;1;1
4;7;2;1;1
4;7;4;1;1
4;7;5;1;1
4;7;9;1;1
4;7;12;1;1
4;8;5;1;1
4;8;5;1;2
4;8;7;1;1
4;8;9;1;1
4;8;11;2;1
4;8;12;1;1
4;8;12;1;2
4;9;2;1;1
4;9;3;2;1
4;9;6;1;1
4;9;7;4;2
4;9;8;2;1
4;9;9;1;1
4;9;10;3;1
4;10;1;1;2
4;10;4;1;1
4;10;8;1;1
4;10;8;1;2
4;11;1;3;1
4;11;2;2;1
4;11;4;1;1
4;11;9;1;1
4;11;10;1;1
4;11;11;2;1
4;12;5;1;1
4;12;6;1;1
4;12;9;1;2
4;12;10;2;1
4;12;11;1;1
4;12;12;2;1
4;13;1;1;1
4;13;5;1;1
4;13;6;1;1
4;13;7;1;1
4;13;8;1;1
4;14;1;1;1
4;14;2;1;2
4;14;2;1;3
4;14;4;1;2
4;14;6;1;1
4;14;7;1;1
4;14;10;1;1
4;14;12;1;2
4;15;1;1;1
4;15;3;2;1
4;15;4;1;1
4;15;5;1;1
4;15;7;1;1
4;15;11;1;1
4;16;1;1;2
4;16;2;2;1
4;16;4;1;1
4;16;5;1;1
4;16;8;1;1
4;16;9;2;1
4;16;12;1;1
4;17;1;3;1
4;17;3;1;2
4;17;10;2;1
4;17;10;1;2
4;17;11;1;1
4;18;1;1;2
4;18;2;4;1
4;18;3;1;2
4;18;4;1;1
4;18;5;1;2
4;18;6;1;1
4;18;6;1;2
4;18;7;1;1
4;19;1;2;1
4;19;4;2;1
4;19;6;1;1
4;19;8;1;1
4;19;11;1;1
4;20;1;1;1
4;20;4;2;1
4;20;8;1;1
4;20;9;1;2
4;20;10;1;1
4;21;1;2;1
4;21;2;1;1
4;21;5;1;1
4;21;6;1;1
4;21;7;1;1
4;21;8;1;1
4;21;9;1;2
4;22;2;1;1
4;22;2;1;2
4;22;5;2;1
4;23;1;2;1
4;23;2;2;1
4;23;5;1;1
4;23;6;1;1
4;23;9;1;1
4;23;10;1;1
4;24;1;2;1
4;24;5;1;1
4;24;6;1;1
4;24;7;1;1
4;24;8;1;1
4;24;9;1;1
4;24;10;1;1
4;25;1;1;1
4;25;2;1;1
4;25;3;3;1
4;25;3;1;2
4;25;4;1;1
4;25;5;1;1
4;25;7;1;1
4;25;11;1;2
4;26;5;1;2
4;26;7;1;1
4;26;8;1;1
4;27;6;1;1
4;27;7;2;1
4;27;8;1;1
4;27;11;2;1
4;28;3;1;1
4;28;4;3;1
4;28;4;1;2
4;28;9;1;1
4;28;10;1;1
4;29;1;1;1
4;29;3;1;1
4;29;3;1;3
4;29;7;1;1
4;29;9;1;1
4;29;10;1;1
4;29;10;1;2
4;29;11;2;1
4;29;12;2;1
4;30;1;1;3
4;30;3;1;1
4;30;4;2;1
4;30;4;1;2
4;30;5;1;1
4;30;7;2;1
4;30;8;2;1
4;30;10;1;2
4;30;12;1;1
4;31;1;1;1
4;31;5;1;2
4;31;7;1;1
4;31;10;1;2
4;31;12;1;1
5;1;7;1;1
5;2;12;1;1
5;3;1;1;1
5;5;12;1;1
5;6;4;1;1
5;6;8;1;1
5;7;2;1;1
5;7;7;1;1
5;8;1;1;2
5;10;10;1;1
5;11;3;1;1
5;12;4;1;1
5;13;4;1;1
5;13;9;1;1
5;13;11;1;1
5;14;6;1;3
5;16;1;1;1
5;16;2;1;1
5;17;9;1;1
5;19;2;1;1
5;19;2;1;3
5;20;9;1;1
5;21;9;1;1
5;22;4;1;1
5;25;1;1;1
5;26;4;1;1
5;26;5;1;1
5;27;5;1;3
5;27;7;1;1
5;29;5;2;1
5;29;8;1;1
5;29;10;1;1
6;1;4;1;1
6;1;4;1;3
6;1;5;1;2
6;1;6;2;1
6;1;7;2;1
6;1;8;1;1
6;1;8;1;2
6;1;9;3;1
6;1;10;1;1
6;1;11;2;1
6;1;12;1;1
6;2;1;1;1
6;2;2;3;1
6;2;2;1;2
6;2;3;3;1
6;2;4;1;1
6;2;4;1;2
6;2;6;5;1
6;2;7;1;1
6;2;8;2;2
6;2;9;4;1
6;2;11;1;1
6;3;1;2;1
6;3;4;2;1
6;3;5;1;3
6;3;7;1;1
6;3;8;1;3
6;3;9;3;1
6;4;1;2;1
6;4;3;4;1
6;4;4;3;1
6;4;5;1;1
6;4;8;1;3
6;4;10;1;1
6;5;4;1;1
6;5;5;1;1
6;5;7;1;1
6;5;8;2;1
6;5;9;2;1
6;5;9;1;2
6;5;10;1;1
6;6;2;1;1
6;6;3;1;1
6;6;4;3;1
6;6;6;1;1
6;6;9;1;1
6;6;9;1;2
6;6;10;2;1
6;6;10;1;2
6;6;11;2;3
6;6;12;1;1
6;7;1;1;1
6;7;2;1;1
6;7;3;1;1
6;7;5;1;1
6;7;6;7;1
6;7;7;1;1
6;7;9;1;1
6;7;11;1;1
6;7;12;1;1
6;8;2;1;1
6;8;3;1;1
6;8;5;1;1
6;8;6;2;2
6;8;7;1;1
6;8;9;2;1
6;8;10;1;1
6;8;11;1;1
6;9;1;3;1
6;9;3;1;1
6;9;4;2;2
6;9;5;1;1
6;9;6;1;1
6;9;8;4;1
6;9;9;1;1
6;9;11;1;1
6;9;12;2;1
6;10;1;1;1
6;10;2;2;1
6;10;2;1;2
6;10;2;1;3
6;10;3;1;1
6;10;3;1;2
6;10;5;1;1
6;10;6;1;2
6;10;10;1;2
6;10;12;3;1
6;11;1;1;2
6;11;3;2;1
6;11;4;1;1
6;11;6;2;1
6;11;9;1;1
6;11;10;1;1
6;11;11;1;1
6;12;2;1;1
6;12;3;1;1
6;12;4;1;1
6;12;5;1;1
6;12;9;1;1
6;12;9;1;3
6;12;10;1;1
6;12;11;1;1
6;12;11;1;3
6;12;12;3;1
6;13;1;4;1
6;13;3;3;1
6;13;7;1;1
6;13;8;1;1
6;13;9;2;1
6;13;11;1;1
6;13;12;1;1
6;13;12;1;3
6;14;2;1;1
6;14;3;1;1
6;14;7;1;2
6;14;8;3;1
6;14;8;1;2
6;14;9;7;1
6;14;10;1;1
6;15;1;3;1
6;15;2;1;1
6;15;6;2;1
6;15;7;1;1
6;15;9;2;1
6;15;10;4;1
6;16;3;1;1
6;16;4;1;1
6;16;6;3;1
6;16;7;2;1
6;16;8;1;1
6;16;9;1;1
6;16;10;2;1
6;16;10;2;2
6;16;11;1;1
6;16;12;1;1
6;17;2;2;1
6;17;2;1;2
6;17;3;1;1
6;17;8;4;1
6;17;9;4;1
6;17;9;1;2
6;17;12;2;1
6;18;7;1;1
6;18;8;1;2
6;18;10;1;1
6;18;11;1;2
6;18;12;4;1
6;19;1;1;1
6;19;2;2;1
6;19;3;2;1
6;19;5;4;1
6;19;5;1;2
6;19;6;1;1
6;19;8;2;1
6;20;1;3;1
6;20;8;1;1
6;20;9;1;1
6;20;11;2;1
6;21;1;1;1
6;21;3;1;1
6;21;4;1;1
6;21;6;1;1
6;21;7;1;1
6;21;7;1;2
6;21;8;2;1
6;21;8;1;2
6;21;9;2;1
6;21;10;3;1
6;21;11;2;1
6;21;12;1;3
6;22;1;3;1
6;22;3;1;1
6;22;4;2;1
6;22;5;1;1
6;22;8;1;1
6;22;8;1;2
6;22;10;1;3
6;22;12;4;1
6;23;1;2;1
6;23;1;1;3
6;23;2;1;1
6;23;3;3;1
6;23;4;1;1
6;23;5;1;1
6;23;5;3;2
6;23;8;1;1
6;23;9;1;1
6;23;12;3;1
6;24;1;1;1
6;24;2;1;1
6;24;4;1;2
6;24;5;1;3
6;24;7;1;1
6;24;7;1;3
6;24;10;2;1
6;24;11;1;1
6;24;12;3;1
6;25;2;1;3
6;25;4;1;1
6;25;4;1;2
6;25;5;2;1
6;25;7;2;3
6;25;8;1;1
6;25;8;1;2
6;25;9;2;1
6;25;10;1;1
6;25;10;1;3
6;25;11;1;1
6;26;1;1;1
6;26;1;1;2
6;26;2;1;1
6;26;4;1;1
6;26;7;1;1
6;26;8;1;1
6;27;1;1;1
6;27;3;1;1
6;27;8;1;1
6;27;9;1;1
6;27;10;1;1
6;27;11;1;1
6;27;12;1;2
6;28;1;2;1
6;28;3;1;1
6;28;4;2;1
6;28;5;1;3
6;28;8;2;1
6;28;10;1;1
6;28;11;3;1
6;28;11;1;2
6;28;12;1;1
6;29;1;3;1
6;29;3;3;1
6;29;3;1;3
6;29;4;2;1
6;29;6;1;1
6;29;7;2;1
6;29;8;3;1
6;29;10;1;1
6;29;10;1;2
6;29;12;1;1
6;30;1;1;1
6;30;1;1;3
6;30;4;1;2
6;30;5;1;2
6;30;10;2;1
6;31;3;1;1
6;31;5;4;1
6;31;7;1;1
6;31;10;1;1
6;31;10;1;2
7;1;3;2;1
7;1;8;1;1
7;1;10;2;1
7;1;11;2;1
7;1;11;1;2
7;1;12;1;2
7;2;2;1;1
7;2;3;1;1
7;2;6;1;2
7;2;8;1;1
7;3;2;1;1
7;3;3;1;1
7;3;3;1;3
7;3;4;1;1
7;3;5;1;1
7;3;5;1;3
7;3;10;1;1
7;4;4;1;1
7;4;9;1;1
7;4;10;1;1
7;4;11;1;1
7;4;11;1;2
7;5;11;1;1
7;6;5;1;1
7;6;6;1;1
7;6;9;1;1
7;7;2;1;1
7;7;5;1;1
7;7;6;2;1
7;7;10;1;1
7;7;11;1;1
7;7;12;1;1
7;8;3;1;1
7;8;6;1;1
7;8;9;1;1
7;8;12;1;1
7;9;10;1;1
7;10;2;1;1
7;10;3;1;1
7;10;6;1;1
7;10;7;1;1
7;10;11;1;1
7;10;12;2;1
7;11;2;1;1
7;11;3;1;2
7;11;4;1;1
7;11;12;1;1
7;11;12;1;2
7;12;4;1;1
7;12;5;1;1
7;12;8;1;1
7;12;10;2;1
7;12;12;1;1
7;13;1;1;1
7;13;4;1;1
7;13;5;1;1
7;14;2;1;1
7;14;4;1;1
7;14;12;2;1
7;15;3;1;1
7;15;7;2;2
7;16;1;1;1
7;16;3;2;1
7;16;5;1;1
7;16;7;1;1
7;16;8;1;1
7;16;12;1;1
7;17;2;1;1
7;17;6;1;1
7;17;7;1;2
7;17;8;1;1
7;18;6;1;1
7;18;9;1;1
7;19;1;1;1
7;19;2;1;1
7;19;5;1;1
7;19;6;1;1
7;19;7;1;2
7;19;8;1;1
7;19;10;1;1
7;19;12;1;1
7;20;2;2;1
7;20;4;1;1
7;20;7;1;1
7;20;8;2;1
7;20;12;1;1
7;21;4;1;1
7;21;6;1;1
7;21;11;1;1
7;23;2;2;1
7;23;7;1;1
7;23;8;1;1
7;23;11;1;1
7;24;1;1;1
7;24;2;1;1
7;24;4;1;1
7;25;1;1;1
7;25;4;1;1
7;25;8;2;1
7;25;11;1;1
7;26;2;1;1
7;26;2;1;2
7;26;3;1;1
7;26;6;1;1
7;26;10;2;1
7;26;10;1;2
7;26;10;1;3
7;27;1;2;1
7;27;11;3;1
7;27;11;1;3
7;28;1;1;2
7;28;4;3;1
7;28;5;1;2
7;28;6;1;1
7;28;12;1;1
7;29;1;1;1
7;29;8;1;1
7;29;11;1;1
7;29;12;1;1
7;30;4;1;1
7;30;5;1;1
7;30;6;1;1
7;31;1;1;1
7;31;12;1;1
8;1;3;2;2
8;1;5;1;1
8;1;6;1;1
8;1;8;1;3
8;1;9;2;1
8;1;10;1;1
8;1;11;1;1
8;1;11;1;3
8;2;1;1;3
8;2;4;1;2
8;2;5;1;1
8;2;7;1;2
8;2;8;1;1
8;2;10;1;1
8;2;11;2;3
8;2;12;1;1
8;3;2;1;3
8;3;7;1;1
8;3;11;1;1
8;4;3;1;1
8;4;3;1;3
8;4;5;1;1
8;4;6;1;1
8;4;11;2;1
8;5;1;2;1
8;5;1;1;3
8;5;2;1;1
8;5;5;1;1
8;5;11;1;1
8;5;11;1;3
8;5;12;1;1
8;6;1;1;1
8;6;3;2;1
8;6;4;1;1
8;6;5;1;1
8;6;6;1;1
8;6;7;1;1
8;6;10;1;1
8;6;10;1;2
8;6;11;1;1
8;7;3;3;1
8;7;4;1;1
8;7;7;1;1
8;7;8;4;1
8;7;9;1;1
8;8;2;1;1
8;8;4;1;1
8;8;4;1;2
8;8;5;3;1
8;8;7;2;1
8;8;7;1;2
8;8;8;1;3
8;8;9;1;2
8;8;11;2;2
8;8;12;1;1
8;9;2;1;1
8;9;3;1;1
8;9;5;1;1
8;9;6;1;2
8;9;7;1;2
8;9;9;1;1
8;9;10;1;1
8;9;11;1;1
8;9;12;1;1
8;10;1;1;1
8;10;5;2;1
8;10;6;1;1
8;10;9;1;1
8;10;10;1;1
8;10;10;1;3
8;10;11;1;1
8;10;12;1;1
8;10;12;1;3
8;11;1;4;1
8;11;1;1;3
8;11;2;2;1
8;11;3;1;1
8;11;3;1;2
8;11;5;1;1
8;11;5;1;3
8;11;7;4;1
8;11;7;1;2
8;11;8;1;1
8;11;9;2;1
8;11;10;3;1
8;11;12;1;1
8;12;1;1;1
8;12;2;1;2
8;12;4;3;1
8;12;4;1;3
8;12;5;3;1
8;12;6;1;1
8;12;7;1;1
8;12;8;1;1
8;12;10;1;3
8;12;12;2;2
8;13;2;1;2
8;13;7;1;1
8;13;8;1;1
8;13;9;2;1
8;13;10;1;1
8;13;10;1;3
8;13;11;1;1
8;14;1;1;2
8;14;3;2;1
8;14;4;3;1
8;14;10;1;1
8;14;11;1;1
8;15;2;1;2
8;15;3;1;1
8;15;3;1;2
8;15;4;1;1
8;15;7;1;3
8;15;9;1;1
8;15;10;3;1
8;15;11;3;1
8;15;11;1;3
8;15;12;1;3
8;16;2;1;2
8;16;6;1;1
8;16;6;1;2
8;16;7;1;1
8;16;8;1;2
8;16;9;1;1
8;16;9;1;2
8;16;10;2;1
8;16;12;1;2
8;17;1;1;3
8;17;2;2;1
8;17;3;1;1
8;17;5;2;1
8;17;6;2;2
8;17;8;1;3
8;17;9;1;3
8;17;12;2;1
8;18;3;2;1
8;18;4;3;1
8;18;5;1;1
8;18;9;1;1
8;18;9;1;3
8;18;10;1;1
8;18;10;1;3
8;18;11;1;1
8;18;12;1;1
8;19;1;2;1
8;19;2;1;1
8;19;3;1;1
8;19;4;2;1
8;19;5;1;2
8;19;10;2;1
8;19;11;1;1
8;20;2;1;1
8;20;3;1;1
8;20;4;2;1
8;20;7;1;2
8;20;11;1;1
8;20;11;1;3
8;20;12;1;1
8;20;12;1;2
8;21;1;1;2
8;21;3;1;1
8;21;7;1;1
8;21;9;1;1
8;21;9;1;2
8;21;11;2;1
8;21;12;1;3
8;22;1;1;2
8;22;1;1;3
8;22;2;2;1
8;22;5;1;1
8;22;6;1;1
8;22;7;1;1
8;22;9;1;2
8;22;11;1;1
8;23;1;1;1
8;23;1;1;2
8;23;2;1;1
8;23;3;1;1
8;23;4;1;1
8;23;6;1;1
8;23;7;2;1
8;23;9;2;1
8;24;2;1;1
8;24;2;1;2
8;24;3;1;1
8;24;5;1;1
8;24;6;1;3
8;24;7;1;1
8;24;9;2;1
8;24;9;1;3
8;24;12;1;1
8;24;12;1;2
8;25;1;1;1
8;25;1;1;2
8;25;2;2;1
8;25;2;1;2
8;25;3;1;1
8;25;5;1;1
8;25;5;1;3
8;25;6;1;1
8;25;6;1;2
8;25;8;1;2
8;25;9;1;1
8;25;9;1;3
8;25;11;1;1
8;25;12;1;1
8;26;1;1;1
8;26;2;1;1
8;26;2;1;3
8;26;7;1;1
8;26;10;3;1
8;27;3;2;1
8;27;5;1;1
8;27;5;1;3
8;27;6;1;1
8;27;7;1;1
8;27;9;4;1
8;27;11;1;2
8;27;12;1;1
8;28;2;1;1
8;28;8;1;1
8;28;10;1;1
8;28;11;1;1
8;29;1;2;1
8;29;6;1;2
8;29;7;1;1
8;29;8;1;1
8;29;8;1;3
8;29;9;3;1
8;29;10;1;1
8;29;10;1;2
8;29;11;3;1
8;29;11;1;3
8;30;5;1;1
8;30;5;1;2
8;30;6;3;1
8;30;7;1;3
8;30;10;1;1
8;30;12;1;1
8;31;5;1;2
8;31;7;2;1
8;31;7;1;3
9;1;1;1;1
9;1;3;1;2
9;1;4;1;2
9;3;3;1;1
9;3;4;1;1
9;3;11;1;1
9;4;6;1;1
9;4;9;1;3
9;5;1;1;1
9;5;3;1;2
9;5;4;1;1
9;5;10;1;1
9;6;1;1;1
9;7;3;5;1
9;7;3;1;2
9;8;3;1;1
9;8;6;1;1
9;9;2;1;1
9;9;3;1;1
9;10;2;1;1
9;10;12;1;1
9;10;12;1;3
9;11;11;1;2
9;12;1;1;1
9;12;2;1;2
9;12;3;1;1
9;12;8;1;2
9;13;2;1;1
9;13;3;1;1
9;14;3;2;1
9;15;3;1;1
9;15;6;1;1
9;16;4;1;2
9;16;9;1;1
9;18;11;1;1
9;19;5;1;2
9;20;2;1;1
9;20;3;1;1
9;20;10;1;1
9;20;11;1;2
9;21;10;1;2
9;21;11;1;1
9;22;1;1;1
9;22;9;1;2
9;23;8;1;1
9;23;9;1;2
9;23;10;1;2
9;23;12;1;1
9;25;1;1;1
9;25;1;1;2
9;25;7;1;1
9;26;1;1;1
9;26;2;1;1
9;26;9;1;1
9;27;6;1;1
9;27;7;1;3
9;27;8;1;1
9;27;9;1;1
9;28;8;1;2
9;28;11;1;1
9;29;10;1;1
9;30;1;1;1
9;30;7;1;1
9;30;8;1;1
9;31;10;1;2
10;1;2;1;1
10;1;3;1;1
10;1;4;1;1
10;1;5;1;1
10;1;7;1;1
10;1;12;1;1
10;2;1;1;1
10;2;3;1;1
10;2;4;2;1
10;2;5;1;1
10;2;7;1;1
10;2;8;1;1
10;3;1;1;1
10;3;2;1;1
10;3;4;1;2
10;3;6;1;1
10;3;9;1;1
10;3;11;1;2
10;3;12;1;1
10;4;3;1;1
10;4;7;1;1
10;4;12;1;3
10;5;1;1;3
10;5;6;1;2
10;5;6;1;3
10;6;1;2;1
10;6;2;1;1
10;6;5;1;2
10;6;8;1;1
10;6;9;1;2
10;6;12;1;1
10;7;5;1;1
10;7;8;1;1
10;7;11;1;1
10;7;12;1;1
10;8;8;2;2
10;8;12;1;2
10;9;1;1;1
10;9;2;1;1
10;9;7;1;1
10;9;11;1;1
10;10;1;1;2
10;10;2;2;1
10;10;5;1;1
10;10;11;1;2
10;11;1;1;1
10;11;6;1;3
10;11;12;1;1
10;12;4;1;1
10;12;5;1;3
10;12;6;1;1
10;12;7;2;1
10;13;1;1;3
10;13;11;1;1
10;13;12;1;1
10;14;2;1;1
10;14;4;1;1
10;14;5;1;1
10;14;6;1;1
10;15;1;2;1
10;15;2;4;1
10;15;3;1;1
10;15;3;1;2
10;15;11;1;1
10;16;6;1;2
10;16;7;1;1
10;16;11;2;1
10;17;2;1;2
10;17;6;1;1
10;17;12;1;1
10;18;2;2;2
10;18;3;1;2
10;18;5;1;1
10;19;5;2;1
10;19;6;1;1
10;19;7;1;1
10;19;9;1;1
10;20;1;2;1
10;20;3;1;1
10;20;4;1;1
10;20;9;1;1
10;20;9;1;3
10;20;12;1;1
10;21;2;1;3
10;21;8;1;1
10;22;2;5;1
10;22;3;1;1
10;22;6;1;1
10;22;11;1;1
10;23;1;3;1
10;23;3;1;1
10;23;6;1;1
10;23;8;1;2
10;23;9;1;2
10;24;2;2;1
10;24;4;1;1
10;24;8;1;1
10;24;9;1;3
10;24;10;1;1
10;24;12;1;2
10;25;1;1;1
10;25;3;1;1
10;25;7;1;1
10;25;8;1;3
10;25;9;2;1
10;26;1;1;1
10;26;11;1;1
10;26;12;1;1
10;27;3;1;1
10;27;6;1;1
10;27;8;1;1
10;27;11;1;1
10;27;12;1;1
10;28;3;1;1
10;28;10;1;1
10;28;12;1;2
10;29;1;2;1
10;29;4;1;2
10;29;10;1;1
10;30;1;2;1
10;30;6;1;1
10;30;6;1;2
10;30;10;1;1
10;31;1;4;1
10;31;7;1;1
10;31;7;1;3
10;31;8;1;3
11;1;3;2;2
11;1;4;1;1
11;1;7;1;1
11;1;9;1;1
11;2;3;1;1
11;2;3;1;2
11;2;10;1;1
11;2;12;3;2
