id_acidente_tip; dia; mes; total; id_risco
13;12;7;2;af
13;24;7;1;af
13;5;1;1;af
13;15;1;1;af
13;17;1;1;af
13;4;5;1;af
29;23;5;1;af
13;5;7;1;af
13;18;7;1;af
13;21;8;1;af
24;9;9;1;af
13;19;11;1;af
13;26;8;1;af
13;5;10;1;af
38;26;11;1;af
13;2;7;1;af
13;3;8;1;af
35;12;12;1;af
24;6;12;1;af
24;27;1;1;af
30;18;8;2;af
13;8;10;1;af
47;3;8;1;af
19;27;9;3;af
24;19;4;1;af
19;24;3;2;af
19;6;4;3;af
18;4;6;1;af
24;1;2;1;af
19;21;6;1;af
24;4;2;2;af
30;11;7;2;af
19;10;11;2;af
30;23;1;2;af
24;12;8;1;af
25;14;10;1;af
24;13;2;2;af
30;29;3;2;af
30;5;7;1;af
13;20;9;2;af
44;4;4;1;af
13;13;4;1;af
13;1;1;2;af
19;16;11;3;af
13;12;6;2;af
19;15;11;2;af
29;16;11;1;af
21;5;1;1;af
21;22;8;1;af
13;27;9;1;af
13;15;2;1;af
24;26;2;1;af
24;27;4;2;af
13;3;5;1;af
24;26;5;1;af
19;15;8;2;af
19;18;12;1;af
21;30;4;1;af
24;8;8;1;af
19;4;12;2;af
43;16;9;2;af
13;3;11;2;af
21;21;1;1;af
30;20;12;1;af
24;23;10;3;af
21;20;1;1;af
18;12;8;1;af
24;24;10;1;af
33;2;11;1;af
30;16;1;1;af
13;30;3;1;af
24;2;2;1;af
19;30;8;1;af
13;14;9;2;af
24;23;9;2;af
29;26;11;1;af
30;31;12;2;af
30;3;10;1;af
28;15;6;1;af
21;19;6;1;af
30;7;10;2;af
24;30;5;3;af
13;29;6;2;af
13;8;11;1;af
19;3;7;1;af
28;6;10;2;af
24;5;3;2;af
28;15;3;3;af
24;20;6;1;af
24;3;12;2;af
13;30;1;1;af
21;1;4;1;af
21;13;4;1;af
24;11;5;1;af
13;17;12;1;af
19;5;9;2;af
19;1;12;3;af
24;24;10;1;af
24;11;1;1;af
30;14;7;3;af
30;3;9;1;af
13;18;8;1;af
24;6;12;3;af
19;2;10;3;af
24;25;1;1;af
30;11;7;1;af
21;5;9;1;af
30;14;12;1;af
24;14;3;1;af
19;15;3;3;af
28;13;10;2;af
19;16;2;1;af
30;28;9;2;af
32;13;1;1;af
18;5;7;1;af
24;30;10;1;af
24;14;2;1;af
13;6;2;1;af
24;3;7;1;af
18;18;7;1;af
13;23;12;1;af
11;14;7;1;af
45;16;11;1;af
24;9;8;1;af
24;15;12;2;af
19;9;6;2;af
24;11;5;3;af
19;14;6;2;af
19;23;6;1;af
30;22;12;2;af
19;25;7;2;af
47;19;9;1;af
34;19;11;1;af
24;27;5;2;af
6;16;8;2;af
31;4;11;2;af
24;10;11;1;af
24;8;1;1;af
24;3;3;1;af
30;31;5;1;af
47;12;10;1;af
18;18;11;1;af
19;8;12;1;af
18;4;9;1;af
24;29;9;2;af
30;22;3;1;af
13;13;8;1;af
21;11;2;1;af
29;15;5;1;af
30;6;9;2;af
19;3;7;2;af
30;18;3;2;af
24;14;4;1;af
13;28;6;1;af
19;18;9;2;af
24;29;11;1;af
11;20;1;2;af
18;22;7;1;af
30;24;3;1;af
13;16;1;2;af
13;22;5;1;af
24;8;8;1;af
24;31;1;1;af
19;18;4;1;af
13;10;5;2;af
13;12;6;3;af
31;16;11;2;af
13;4;2;1;af
19;9;2;3;af
29;3;8;1;af
18;22;9;1;af
30;3;11;2;af
18;6;9;1;af
11;28;9;1;af
21;21;1;1;af
21;6;4;1;af
18;16;6;1;af
24;3;3;1;af
31;10;9;3;af
19;22;6;2;af
37;10;9;1;af
18;16;2;1;af
31;16;2;2;af
19;8;7;2;af
13;1;11;1;af
21;29;11;1;af
13;4;1;1;af
30;27;4;3;af
29;9;1;2;af
35;3;8;1;af
13;25;8;1;af
34;11;12;2;af
13;9;2;2;af
13;9;2;2;af
13;5;10;1;af
37;22;10;2;af
13;4;2;1;af
13;15;5;1;af
13;8;9;2;af
30;11;10;1;af
13;10;4;1;af
31;5;8;1;af
24;16;1;1;af
19;17;5;3;af
35;8;7;1;af
19;9;7;3;af
13;18;8;1;af
13;20;10;1;af
13;16;12;3;af
13;3;3;1;af
18;31;8;1;af
13;19;9;1;af
40;9;11;2;af
13;4;12;2;af
13;13;12;1;af
24;18;12;2;af
11;16;1;1;af
13;21;1;1;af
11;26;1;1;af
13;27;1;1;af
30;13;3;1;af
13;20;6;1;af
13;14;8;1;af
13;16;9;1;af
13;27;9;1;af
13;19;1;1;af
13;25;1;1;af
34;3;3;2;af
30;21;3;1;af
13;5;4;1;af
35;27;7;1;af
19;27;7;2;af
13;12;9;1;af
13;12;10;1;af
11;5;11;1;af
30;28;2;1;af
19;13;5;2;af
24;10;11;1;af
13;4;1;1;af
24;14;1;1;af
11;28;6;1;af
13;1;7;1;af
11;21;8;1;af
13;27;8;1;af
13;5;9;1;af
24;20;1;2;af
13;7;3;1;af
13;6;7;1;af
19;13;7;3;af
24;20;8;1;af
24;26;8;1;af
13;5;10;1;af
24;31;10;1;af
13;19;12;1;af
24;6;2;1;af
13;25;5;1;af
24;26;5;1;af
13;27;6;1;af
13;30;8;1;af
24;11;9;1;af
24;16;9;1;af
13;26;9;1;af
19;22;10;2;af
13;2;1;1;af
24;10;1;1;af
30;13;1;1;af
18;10;4;1;af
13;13;5;1;af
13;15;5;1;af
33;8;6;2;af
13;15;6;1;af
24;2;7;1;af
13;8;8;1;af
24;8;9;1;af
13;19;9;1;af
24;17;10;1;af
28;27;10;2;af
18;23;12;1;af
13;6;3;1;af
24;6;3;1;af
13;25;3;1;af
13;29;3;1;af
50;1;5;2;af
24;3;5;1;af
24;2;7;1;af
40;7;7;2;af
19;24;9;1;af
13;24;9;1;af
24;24;9;1;af
13;2;10;1;af
13;10;11;1;af
13;29;1;1;af
13;7;2;1;af
13;28;4;1;af
30;29;6;1;af
24;16;7;1;af
47;18;7;2;af
37;3;9;2;af
13;19;11;1;af
13;21;11;1;af
28;9;3;1;af
24;15;4;1;af
28;16;6;1;af
30;6;7;1;af
29;3;10;1;af
19;15;11;2;af
24;22;12;2;af
24;23;10;1;af
24;30;10;2;af
13;5;12;1;af
11;27;1;1;af
13;18;9;1;af
13;14;11;1;af
13;8;2;1;af
13;10;8;1;af
24;9;11;1;af
30;3;12;2;af
13;13;1;1;af
11;25;1;1;af
13;9;6;1;af
30;28;8;1;af
30;21;10;1;af
30;14;2;1;af
13;18;9;1;af
11;30;10;1;af
24;22;2;1;af
24;23;6;1;af
43;25;8;2;af
11;23;12;2;af
19;11;1;2;af
24;28;1;2;af
13;4;3;1;af
19;4;6;1;af
30;20;9;2;af
11;25;1;1;af
13;26;1;1;af
19;19;3;1;af
24;21;5;1;af
13;7;7;1;af
13;11;7;1;af
24;16;7;1;af
30;3;8;1;af
19;30;10;1;af
13;13;12;1;af
13;11;1;1;af
13;17;1;1;af
13;22;1;1;af
29;26;4;1;af
13;1;6;1;af
30;4;8;1;af
13;19;8;1;af
13;28;10;1;af
24;28;12;1;af
24;1;1;1;af
13;3;1;1;af
13;21;1;2;af
30;26;5;1;af
24;4;12;1;af
24;30;1;1;af
24;4;2;1;af
24;2;3;1;af
13;10;3;1;af
30;18;3;1;af
31;2;4;1;af
30;11;4;1;af
24;13;7;1;af
11;10;9;1;af
13;5;10;1;af
30;31;10;1;af
13;8;2;1;af
13;15;9;1;af
29;27;10;1;af
13;29;5;1;af
24;12;6;1;af
24;10;10;1;af
13;14;11;1;af
13;4;10;1;af
40;17;10;2;af
24;23;11;2;af
30;13;9;1;af
32;12;3;1;af
18;16;9;1;af
13;10;10;1;af
13;19;10;2;af
24;23;1;1;af
11;12;2;2;af
24;27;2;1;af
24;17;4;1;af
24;28;6;1;af
47;26;10;1;af
24;4;3;1;af
13;4;3;1;af
28;27;8;1;af
24;10;9;1;af
13;30;10;1;af
24;13;3;2;af
24;2;4;1;af
13;27;5;1;af
11;12;6;1;af
24;22;6;1;af
24;20;8;1;af
24;4;9;1;af
13;22;10;1;af
24;15;11;1;af
24;10;12;1;af
24;1;2;1;af
11;2;3;1;af
13;24;4;1;af
24;23;5;1;af
24;25;5;1;af
11;13;11;1;af
13;26;11;1;af
24;12;2;2;af
28;24;2;1;af
24;21;5;1;af
13;11;7;1;af
24;18;7;2;af
24;1;9;1;af
24;24;9;1;af
11;10;10;1;af
24;4;12;1;af
13;20;2;1;af
24;16;6;1;af
24;20;9;1;af
24;7;10;1;af
24;16;10;1;af
24;11;11;1;af
30;23;11;1;af
13;23;5;2;af
11;10;8;1;af
13;1;9;1;af
24;7;10;1;af
13;7;2;1;af
13;17;12;1;af
11;28;2;1;af
24;7;3;1;af
13;24;12;1;af
11;19;2;1;af
24;12;8;1;af
31;17;8;3;af
13;30;12;1;af
24;17;3;1;af
24;17;8;1;af
13;14;1;1;af
13;2;8;1;af
13;26;10;1;af
13;29;11;1;af
13;23;12;1;af
24;11;9;1;af
13;14;11;1;af
24;13;12;1;af
13;13;12;1;af
24;15;12;1;af
24;22;12;1;af
52;28;1;1;af
30;5;6;1;af
13;20;7;1;af
24;10;10;1;af
24;17;3;2;af
30;5;7;1;af
24;1;8;1;af
13;19;9;1;af
11;24;9;1;af
24;7;10;1;af
13;22;10;1;af
13;21;11;1;af
11;29;11;1;af
24;12;12;1;af
24;5;2;1;af
13;12;2;1;af
24;28;3;1;af
13;8;5;1;af
13;10;7;1;af
24;25;8;1;af
11;25;8;1;af
11;12;9;1;af
11;23;9;1;af
13;23;6;1;af
24;29;6;1;af
24;11;9;1;af
13;16;12;1;af
19;16;12;2;af
13;4;3;1;af
24;5;4;1;af
24;8;10;1;af
11;26;10;1;af
13;13;11;1;af
24;23;8;1;af
24;24;8;1;af
24;9;2;1;af
19;7;3;1;af
30;22;6;1;af
24;26;7;1;af
24;2;8;1;af
24;19;8;2;af
24;12;9;1;af
13;21;9;1;af
11;1;10;1;af
24;29;11;1;af
24;22;12;1;af
24;19;1;1;af
30;29;1;1;af
24;15;5;1;af
24;18;7;1;af
13;1;8;1;af
24;1;8;1;af
13;4;10;1;af
24;9;10;1;af
24;14;10;1;af
30;6;11;2;af
24;8;11;1;af
13;8;11;1;af
24;20;12;1;af
18;7;2;1;af
24;27;2;1;af
13;27;2;1;af
24;24;3;1;af
24;3;5;1;af
24;9;5;1;af
11;11;6;1;af
24;3;9;1;af
24;11;10;1;af
19;1;11;1;af
24;23;12;1;af
18;6;2;1;af
24;1;4;1;af
24;3;7;1;af
24;11;7;1;af
24;3;8;2;af
28;28;8;1;af
