dia;mes;hora;minuto;km;trecho;sentido;acidente_caminhao
08;01;06;;174;2;3;1
08;01;05;;175.5;2;3;1
08;01;18;;197.6;2;3;0
08;01;04;;203.6;2;3;1
08;01;18;;204;1;3;1
08;01;11;;211.56;1;4;0
08;01;22;;217;1;3;1
08;01;12;;222;2;4;0
08;01;14;;227;1;3;1
08;01;16;;228.8;1;4;1
08;01;14;;231;1;4;1
08;01;15;;238.65;2;4;1
08;01;10;;261;2;3;1
08;01;02;;270.15;2;3;1
08;01;23;;271;2;3;0
08;01;03;;277.9;2;3;1
09;01;10;;47;1;4;0
09;01;08;;47.1;1;4;1
09;01;06;;65;1;4;0
09;01;12;;99.1;1;4;0
09;01;13;;99.15;1;4;0
09;01;06;;101.75;1;4;0
09;01;21;;112.5;1;4;1
09;01;18;;115.5;1;4;0
09;01;06;;127.5;1;4;0
09;01;05;;130.1;1;3;0
09;01;21;;144.4;1;4;0
09;01;00;;161.9;1;4;0
09;01;10;;165;1;4;1
09;01;05;;167.8;2;4;0
09;01;21;;170.3;2;4;0
09;01;22;;172.6;2;3;1
09;01;09;;173.9;2;4;0
09;01;08;;176;2;3;0
09;01;09;;177.2;2;4;1
09;01;19;;180.7;2;3;0
09;01;07;;200.1;2;3;0
09;01;19;;208;2;4;0
09;01;05;;219;1;4;0
09;01;11;;219;1;4;0
09;01;12;;219;1;3;0
09;01;20;;226.5;1;4;0
09;01;12;;248.6;2;4;0
09;01;08;;248.65;2;4;0
09;01;02;;257.5;2;3;1
09;01;22;;280.5;2;3;0
09;01;22;;327;2;3;1
10;01;22;;87.2;1;3;0
10;01;14;;97.5;1;4;0
10;01;13;;101;1;4;1
10;01;23;;108;1;3;0
10;01;09;;123.6;1;3;0
10;01;16;;144;1;4;0
10;01;14;;148;1;3;1
10;01;14;;168;2;4;0
10;01;22;;170;2;4;0
10;01;02;;170.4;1;4;0
10;01;18;;172.4;2;3;0
10;01;19;;174.7;2;3;1
10;01;21;;183.7;2;3;0
10;01;13;;193.4;1;4;1
10;01;02;;201;1;4;0
10;01;18;;205.6;1;4;1
10;01;06;;207;2;3;0
10;01;16;;215;2;3;0
10;01;12;;227;1;3;0
10;01;18;;229.8;1;4;0
10;01;17;;231.1;1;4;0
10;01;17;;247;2;4;0
10;01;07;;286.4;2;3;0
10;01;05;;304.45;2;3;0
10;01;13;;323.21;2;3;0
11;01;16;;6.1;1;3;0
11;01;04;;59;1;4;1
11;01;15;;100;1;4;0
11;01;09;;112.8;1;4;0
11;01;23;;128.2;1;4;0
11;01;16;;147.9;1;4;0
11;01;15;;155;1;3;0
11;01;10;;158;1;3;0
11;01;16;;168.3;1;4;0
11;01;18;;168.5;2;4;0
11;01;06;;169.2;2;4;0
11;01;18;;171.7;2;4;1
11;01;07;;173.5;2;3;0
11;01;07;;175;2;3;1
11;01;05;;177;2;3;0
11;01;08;;183;1;4;0
11;01;04;;207.5;2;3;1
11;01;11;;218.3;2;3;1
11;01;11;;227;1;3;0
11;01;04;;227.7;2;3;0
11;01;22;;229;1;3;1
11;01;01;;261.35;2;4;1
11;01;02;;274.22;2;3;1
11;01;04;;295.37;2;4;0
12;01;16;;41;1;4;0
12;01;16;;101;1;4;0
12;01;13;;130;1;3;1
12;01;19;;143;1;4;0
12;01;16;;145;1;4;0
12;01;10;;145.5;1;4;1
12;01;18;;146;1;4;1
12;01;07;;171.8;2;4;0
12;01;20;;176.3;2;4;0
12;01;16;;180.2;2;4;1
12;01;09;;190.8;1;3;1
12;01;06;;195;1;3;1
12;01;08;;196;1;3;0
12;01;09;;196;1;3;1
12;01;06;;206.7;1;4;1
12;01;13;;207;1;3;0
12;01;11;;211.8;1;4;0
12;01;08;;212;1;4;0
12;01;10;;212;1;3;0
12;01;17;;217.3;1;3;1
12;01;09;;222;1;3;1
12;01;13;;222;1;3;0
12;01;05;;223.25;2;3;1
12;01;10;;224.5;1;3;1
12;01;20;;229.85;1;3;0
12;01;18;;231.2;1;4;0
12;01;02;;240;2;3;1
12;01;17;;248;2;4;0
12;01;02;;255;2;3;1
12;01;07;;262;2;4;1
12;01;16;;267;2;3;0
12;01;21;;272.8;2;4;0
13;01;21;;7.4;1;3;0
13;01;03;;67.2;1;4;0
13;01;18;;86.6;1;3;0
13;01;13;;144.4;1;4;1
13;01;08;;151.2;1;3;1
13;01;23;;156.5;1;3;0
13;01;23;;163;2;4;0
13;01;23;;169;1;4;0
13;01;16;;173;1;4;0
13;01;12;;191.9;2;3;0
13;01;06;;203.7;1;4;0
13;01;22;;208.8;2;3;1
13;01;22;;208.8;2;3;1
13;01;06;;211;1;4;0
13;01;07;;211.8;1;4;0
13;01;04;;211.8;2;3;1
13;01;08;;216.5;1;4;0
13;01;07;;219.4;1;4;0
13;01;06;;222.8;2;3;1
13;01;09;;223.9;1;3;0
13;01;23;;226;2;3;0
13;01;13;;226.1;2;3;0
13;01;22;;227.9;2;3;0
13;01;15;;228;1;4;0
13;01;16;;228.9;1;3;1
13;01;14;;250;2;3;1
13;01;19;;269.5;2;3;1
13;01;14;;270.8;2;4;1
13;01;18;;275;2;3;0
13;01;08;;296.5;2;4;0
13;01;02;;319.8;2;4;1
14;01;15;;27.95;1;4;0
14;01;17;;56.7;1;4;0
14;01;11;;72.4;1;3;0
14;01;06;;99.6;1;3;1
14;01;07;;100.8;1;3;0
14;01;01;;117;1;3;1
14;01;16;;137;1;4;0
14;01;10;;144.6;1;4;0
14;01;19;;145;1;4;0
14;01;16;;146;1;4;1
14;01;16;;157.8;1;3;1
14;01;19;;158.2;1;4;0
14;01;04;;167.2;2;4;0
14;01;12;;167.9;2;3;1
14;01;07;;168;2;3;0
14;01;06;;172.7;2;3;0
14;01;17;;172.9;2;4;1
14;01;08;;173.6;1;3;1
14;01;12;;220;1;4;0
14;01;18;;220.3;2;4;1
14;01;13;;225;1;3;0
14;01;18;;225;1;3;0
14;01;09;;227;1;4;0
14;01;06;;257;2;3;1
14;01;16;;292;2;4;1
14;01;01;;314.3;2;3;1
14;01;07;;316.3;2;4;0
15;01;18;;20.2;1;4;0
15;01;01;;36.5;1;3;1
15;01;21;;37.8;1;3;0
15;01;21;;37.8;1;3;1
15;01;18;;69.1;1;4;0
15;01;17;;74.1;1;3;0
15;01;12;;74.5;1;4;0
15;01;09;;82;1;4;0
15;01;23;;146.5;1;4;0
15;01;00;;158;1;4;1
15;01;03;;163.3;2;4;0
15;01;20;;172.9;2;4;1
15;01;19;;173.9;2;3;0
15;01;23;;175.5;2;3;1
15;01;19;;176.7;2;3;1
15;01;16;;190.7;1;3;1
15;01;06;;193.2;2;3;0
15;01;19;;193.4;2;3;0
15;01;20;;195.8;2;3;0
15;01;20;;197.6;2;3;0
15;01;18;;207;2;4;0
15;01;10;;209;2;4;1
15;01;21;;214.7;1;4;1
15;01;06;;222;1;3;0
15;01;15;;222;1;4;1
15;01;16;;222.5;2;3;1
15;01;07;;223.5;2;4;0
15;01;18;;227.8;1;3;1
15;01;16;;227.9;2;3;0
15;01;08;;228;2;4;0
15;01;16;;228;2;3;0
15;01;13;;230.5;1;4;1
15;01;01;;255;2;3;0
15;01;09;;297.1;2;4;0
15;01;14;;305;2;4;0
16;01;00;;24.1;1;4;0
16;01;14;;85;1;4;0
16;01;21;;92.3;1;4;0
16;01;04;;130.7;1;3;0
16;01;02;;131.8;1;4;1
16;01;04;;133;1;4;0
16;01;15;;144;1;4;0
16;01;15;;146;1;4;0
16;01;10;;162;1;4;1
16;01;10;;165;1;4;0
16;01;22;;165.5;2;4;0
16;01;12;;168.3;2;4;1
16;01;18;;168.8;1;3;0
16;01;23;;170.6;2;3;1
16;01;14;;174.8;2;3;0
16;01;21;;175;2;3;0
16;01;07;;176.5;2;3;0
16;01;18;;178.6;2;3;0
16;01;03;;179;2;4;1
16;01;20;;181.8;2;4;0
16;01;16;;183.9;2;3;0
16;01;19;;183.9;2;4;0
16;01;07;;187;1;3;0
16;01;22;;194;1;3;1
16;01;11;;198;2;3;0
16;01;12;;204;1;4;0
16;01;14;;204;1;3;0
16;01;17;;207.8;1;3;0
16;01;20;;209.5;2;3;0
16;01;21;;209.5;2;3;0
16;01;16;;211;1;3;1
16;01;22;;212.5;1;3;0
16;01;20;;218.3;1;4;0
16;01;11;;218.5;1;3;1
16;01;06;;224.5;1;3;0
16;01;07;;225;1;3;0
16;01;10;;247.8;2;4;1
16;01;08;;269.8;2;3;1
16;01;00;;275.55;2;4;0
16;01;10;;319;2;4;1
17;01;02;;71.4;1;3;0
17;01;17;;75;1;3;1
17;01;13;;101;1;4;0
17;01;13;;101;1;4;0
17;01;21;;106.6;1;4;0
17;01;16;;113.3;1;4;0
17;01;18;;145;1;3;0
17;01;06;;146.7;1;4;0
17;01;17;;168.6;2;4;0
17;01;19;;172.79;2;4;0
17;01;01;;177.4;1;4;0
17;01;00;;186.1;1;4;0
17;01;21;;189;2;3;1
17;01;21;;190;2;3;0
17;01;00;;196.6;1;3;0
17;01;12;;202;2;4;0
17;01;01;;214.8;1;4;0
17;01;04;;221.5;2;4;1
17;01;23;;223.15;2;3;1
17;01;16;;270;2;3;0
17;01;16;;276.2;2;4;1
18;01;00;;48.55;1;4;0
18;01;15;;147;1;4;0
18;01;22;;161.8;1;4;1
18;01;12;;165;1;3;0
18;01;07;;173.7;2;3;1
18;01;18;;173.8;2;4;1
18;01;23;;192.7;1;3;1
18;01;14;;193.9;2;4;0
18;01;17;;197.8;1;3;1
18;01;02;;201.35;1;4;1
18;01;02;;206;2;4;0
18;01;13;;208;1;4;0
18;01;18;;219;1;4;0
18;01;17;;222;1;3;0
18;01;06;;229.8;1;4;0
18;01;19;;247.3;2;3;0
18;01;11;;269;2;4;0
18;01;17;;278;2;3;1
18;01;15;;292.1;2;4;1
18;01;04;;293.2;2;4;1
18;01;02;;325.7;2;4;1
19;01;05;;32;1;3;1
19;01;18;;70.65;1;3;0
19;01;23;;86.95;1;3;1
19;01;10;;128;1;4;1
19;01;17;;140.75;1;3;0
19;01;05;;145.8;1;3;0
19;01;17;;152;1;3;0
19;01;20;;171.9;2;4;1
19;01;19;;174;2;4;0
19;01;18;;174.3;2;3;0
19;01;15;;179;2;4;0
19;01;08;;182.9;2;3;1
19;01;07;;185;2;3;0
19;01;17;;185.2;2;3;0
19;01;02;;193;2;4;0
19;01;20;;196.5;2;3;1
19;01;16;;215;2;3;0
19;01;12;;219.4;1;4;0
19;01;19;;220.6;2;4;1
19;01;18;;223.5;1;3;0
19;01;20;;223.6;2;4;0
19;01;17;;224;1;3;0
19;01;16;;224.2;2;3;0
19;01;16;;227;1;3;0
19;01;17;;228;2;3;1
19;01;14;;229;1;4;0
19;01;15;;229;1;4;1
19;01;17;;229.5;2;4;0
19;01;20;;229.5;1;4;0
19;01;10;;229.7;1;4;0
19;01;16;;248.5;2;4;0
19;01;11;;249.75;2;3;1
19;01;00;;294.3;2;4;0
20;01;00;;35;1;3;1
20;01;14;;127.15;1;4;1
20;01;09;;144;1;4;0
20;01;10;;144;1;4;1
20;01;17;;146.1;1;4;1
20;01;06;;148.6;1;4;1
20;01;15;;168.25;1;3;1
20;01;17;;172.4;2;3;0
20;01;19;;174;2;3;0
20;01;00;;176.5;1;4;1
20;01;21;;180.8;2;4;0
20;01;21;;197.8;1;3;0
20;01;12;;212;1;3;0
