data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;caminhao;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos;3
18/09/2020;12:32:21;112;Acidente sem VITIMA;93,000;BR-290/RS;Leste;Choque com objeto sobre a pista;1;2;0;0;0;0;1
18/09/2020;17:26:09;199;Acidente sem VITIMA;89,000;BR-290/RS;Leste;Colisão - Lateral;1;2;0;0;0;0;1
19/09/2020;09:59:28;81;Acidente sem VITIMA;60,000;BR-290/RS;Leste;Colisão - Traseira;1;3;0;0;0;0;1
22/09/2020;06:26:38;17;Acidente sem VITIMA;36,000;BR-290/RS;Leste;Queda de ribanceira;1;2;0;0;0;0;1
23/09/2020;17:08:59;187;Acidente sem VITIMA;77,000;BR-290/RS;Oeste;Choque Praça - Cabine;2;2;0;0;0;0;1
25/09/2020;07:42:04;31;Acidente com VITIMA;23,000;BR-290/RS;Oeste;Colisão - Lateral;1;1;2;0;0;0;1
25/09/2020;14:19:42;140;Acidente com VITIMA;433,000;BR-386/RS;Norte;Colisão - Traseira;1;2;2;0;0;0;1
28/09/2020;09:29:23;70;Acidente com VITIMA;347,000;BR-386/RS;Norte;Colisão - Traseira;1;1;1;0;0;0;1
29/09/2020;00:53:40;2;Acidente com VITIMA;16,500;BR-101/RS;Norte;Colisão - Traseira;1;2;0;1;0;0;2
30/09/2020;06:50:35;25;Acidente sem VITIMA;24,390;BR-290/RS;Leste;Queda de ribanceira;1;2;0;0;0;0;1
30/09/2020;08:20:50;48;Acidente sem VITIMA;360,000;BR-386/RS;Ambos;Queda de ribanceira;1;4;0;0;0;0;1
01/10/2020;15:32:44;189;Acidente com VITIMA;375,000;BR-386/RS;Sul;Choque com veículo na faixa de rolamento;1;0;1;0;0;0;1
02/10/2020;11:02:25;90;Acidente sem VITIMA;243,000;BR-386/RS;Sul;Tombamento;1;1;0;0;0;0;1
02/10/2020;22:06:42;212;Acidente sem VITIMA;431,000;BR-386/RS;Norte;Queda de ribanceira;1;1;0;0;0;0;1
03/10/2020;00:56:32;4;Acidente sem VITIMA;10,000;BR-101/RS;Sul;Saída de pista;1;1;0;0;0;0;1
04/10/2020;16:10:39;79;Acidente sem VITIMA;15,000;BR-290/RS;Leste;Queda de ribanceira;1;1;0;0;0;0;1
08/10/2020;06:09:46;10;Acidente com VITIMA;72,000;BR-101/RS;Sul;Colisão - Traseira;2;1;1;0;0;0;1
10/10/2020;12:18:18;134;Acidente sem VITIMA;345,000;BR-386/RS;Norte;Colisão - Traseira;1;2;0;0;0;0;1
13/10/2020;16:33:11;197;Acidente com VITIMA;6,000;BR-448/RS;Norte;Choque Barreira;1;0;1;0;0;0;1
14/10/2020;01:55:24;2;Acidente sem VITIMA;89,000;BR-290/RS;Oeste;Queda de ribanceira;1;1;0;0;0;0;1
14/10/2020;08:34:52;70;Acidente sem VITIMA;84,000;BR-290/RS;Oeste;Choque Defensa;1;2;0;0;0;0;1
18/10/2020;10:10:55;70;Acidente sem VITIMA;215,000;BR-386/RS;Sul;Saída de pista;1;1;0;0;0;0;1
19/10/2020;05:47:50;15;Acidente sem VITIMA;44,000;BR-101/RS;Sul;Colisão - Lateral;1;3;0;0;0;0;1
19/10/2020;10:54:55;116;Acidente sem VITIMA;92,000;BR-290/RS;Leste;Colisão - Lateral;1;5;0;0;0;0;1
19/10/2020;11:55:19;124;Acidente sem VITIMA;92,000;BR-290/RS;Leste;Colisão - Lateral;1;3;0;0;0;0;1
20/10/2020;07:32:49;32;Acidente sem VITIMA;436,000;BR-386/RS;Sul;Colisão - Traseira;1;3;0;0;0;0;1
21/10/2020;14:11:14;135;Acidente sem VITIMA;63,000;BR-101/RS;Norte;Colisão - Traseira;1;1;0;0;0;0;1
21/10/2020;21:02:59;193;Acidente sem VITIMA;39,000;BR-290/RS;Oeste;Colisão - Traseira;2;2;0;0;0;0;1
22/10/2020;16:25:52;156;Acidente sem VITIMA;28,000;BR-101/RS;Sul;Saída de pista;1;1;0;0;0;0;1
22/10/2020;18:26:58;175;Acidente sem VITIMA;435,000;BR-386/RS;Norte;Colisão - Lateral;1;2;0;0;0;0;1
22/10/2020;21:34:32;205;Acidente com VITIMA;38,000;BR-290/RS;Oeste;Colisão - Traseira;1;1;0;1;1;0;2
23/10/2020;07:53:30;46;Acidente sem VITIMA;92,000;BR-290/RS;Leste;Colisão - Lateral;1;3;0;0;0;0;1
24/10/2020;14:46:28;136;Acidente sem VITIMA;16,000;BR-290/RS;Leste;Colisão - Transversal;1;3;0;0;0;0;1
27/10/2020;08:22:17;57;Acidente sem VITIMA;10,000;BR-448/RS;Sul;Saída de pista;1;2;0;0;0;0;1
29/10/2020;15:03:36;150;Acidente com VITIMA;312,000;BR-386/RS;Sul;Engavetamento;2;2;0;2;0;0;2
04/11/2020;07:06:02;29;Acidente com VITIMA;436,000;BR-386/RS;Norte;Saída de pista;1;0;0;1;0;0;2
05/11/2020;08:06:34;45;Acidente sem VITIMA;92,000;BR-290/RS;Ambos;Engavetamento;1;3;0;0;0;0;1
05/11/2020;08:28:50;61;Acidente sem VITIMA;5,000;BR-290/RS;Oeste;Colisão - Lateral;1;3;0;0;0;0;1
07/11/2020;07:58:02;42;Atropelamento;433,000;BR-386/RS;Sul;Atropelamento - Andarilho;1;1;0;1;0;0;2
09/11/2020;02:41:08;12;Acidente sem VITIMA;33,000;BR-290/RS;Oeste;Saída de pista;1;1;0;0;0;0;1
09/11/2020;23:02:45;224;Acidente sem VITIMA;244,000;BR-386/RS;Norte;Choque Talude;1;2;0;0;0;0;1
10/11/2020;20:48:09;207;Acidente sem VITIMA;341,000;BR-386/RS;Norte;Saída de pista;1;2;0;0;0;0;1
11/11/2020;10:51:40;106;Atropelamento Fatal;80,000;BR-290/RS;Oeste;Atropelamento - Morador/Trabalhador/Estudante;1;2;0;0;0;1;3
11/11/2020;15:11:54;143;Acidente sem VITIMA;51,000;BR-101/RS;Sul;Colisão - Traseira;1;2;0;0;0;0;1
11/11/2020;17:52:11;173;Acidente sem VITIMA;362,000;BR-386/RS;Sul;Outros;1;2;0;0;0;0;1
12/11/2020;03:15:45;7;Acidente sem VITIMA;38,000;BR-101/RS;Sul;Queda de ribanceira;1;2;0;0;0;0;1
14/11/2020;15:01:25;144;Acidente sem VITIMA;70,000;BR-101/RS;Norte;Colisão - Lateral;1;4;0;0;0;0;1
14/11/2020;11:58:44;99;Acidente sem VITIMA;291,000;BR-386/RS;Norte;Colisão - Transversal;1;2;0;0;0;0;1
16/11/2020;14:14:30;148;Acidente sem VITIMA;35,000;BR-101/RS;Norte;Colisão - Lateral;1;5;0;0;0;0;1
16/11/2020;14:18:01;149;Acidente sem VITIMA;16,000;BR-290/RS;Leste;Colisão - Lateral;1;4;0;0;0;0;1
17/11/2020;02:06:56;5;Acidente com VITIMA;49,000;BR-101/RS;Norte;Saída de pista;1;1;1;0;0;0;1
19/11/2020;01:04:09;10;Acidente com VITIMA;330,000;BR-386/RS;Sul;Queda de ribanceira;1;0;1;0;0;0;1
19/11/2020;02:02:15;13;Acidente sem VITIMA;18,000;BR-290/RS;Oeste;Saída de pista;1;1;0;0;0;0;1
20/11/2020;15:31:39;445;Acidente sem VITIMA;83,000;BR-290/RS;Leste;Colisão - Lateral;1;3;0;0;0;0;1
20/11/2020;16:39:47;463;Acidente sem VITIMA;95,000;BR-290/RS;Oeste;Engavetamento;1;4;0;0;0;0;1
21/11/2020;03:08:13;18;Acidente com VITIMA;410,000;BR-386/RS;Sul;Saída de pista;1;0;0;0;1;0;2
21/11/2020;21:00:07;216;Acidente com VITIMA;304,000;BR-386/RS;Norte;Queda de ribanceira;1;1;1;0;0;0;1
22/11/2020;23:12:15;228;Acidente com VITIMA;292,000;BR-386/RS;Sul;Queda de ribanceira;1;0;1;0;0;0;1
23/11/2020;12:32:12;136;Acidente sem VITIMA;306,000;BR-386/RS;Sul;Colisão - Traseira;1;4;0;0;0;0;1
23/11/2020;06:31:53;29;Acidente sem VITIMA;95,000;BR-290/RS;Oeste;Colisão - Traseira;1;2;0;0;0;0;1
24/11/2020;09:52:00;85;Acidente sem VITIMA;417,000;BR-386/RS;Sul;;1;1;0;0;0;0;1
25/11/2020;10:52:49;134;Acidente com VITIMA FATAL;10,000;BR-290/RS;Leste;Colisão - Frontal;1;0;0;0;0;3;3
25/11/2020;11:05:00;137;Acidente sem VITIMA;346,000;BR-386/RS;Ambos;Outros;1;1;0;0;0;0;1
25/11/2020;22:43:00;323;Acidente sem VITIMA;25,100;BR-101/RS;Sul;Queda de ribanceira;1;1;0;0;0;0;1
26/11/2020;17:16:00;193;Acidente sem VITIMA;21,000;BR-448/RS;Sul;Choque Barreira;1;1;0;0;0;0;1
26/11/2020;08:27:00;51;Acidente sem VITIMA;96,000;BR-290/RS;Oeste;Colisão - Lateral;1;2;0;0;0;0;1
27/11/2020;21:00:00;207;Acidente sem VITIMA;345,000;BR-386/RS;Sul;Colisão - Transversal;1;2;0;0;0;0;1
28/11/2020;01:32:44;10;Acidente sem VITIMA;35,000;BR-290/RS;Leste;Queda de ribanceira;1;2;0;0;0;0;1
28/11/2020;13:44:17;143;Acidente sem VITIMA;291,000;BR-386/RS;Norte;Saída de pista;1;1;0;0;0;0;1
28/11/2020;03:36:00;17;Acidente sem VITIMA;39,000;BR-290/RS;Leste;Saída de pista;1;3;0;0;0;0;1
30/11/2020;13:22:00;149;Acidente sem VITIMA;16,000;BR-101/RS;Norte;Queda de ribanceira;1;2;0;0;0;0;1
30/11/2020;20:56:57;236;Acidente com VITIMA;48,000;BR-290/RS;Oeste;Colisão - Lateral;1;1;1;0;0;0;1
30/11/2020;22:35:07;242;Acidente com VITIMA;25,000;BR-290/RS;Leste;Tombamento;1;0;0;2;0;0;2
