data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;caminhao;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos;3
29/03/2010;03:26:00;11;sem vítima;113;BR-153/SP;Sul;Atropelamento de Animal;1;1;;;;;1
31/03/2010;13:30:00;65;sem vítima;35,8;BR-153/SP;Sul;Choque contra Objeto Fixo;1;1;;;;;1
01/04/2010;12:48:00;53;sem vítima;219,5;BR-153/SP;Sul;Choque contra Objeto Fixo;1;2;;;;;1
04/04/2010;10:29:00;41;sem vítima;61;BR-153/SP;Sul;Colisão Traseira;1;2;;;;;1
06/04/2010;14:29:00;46;sem vítima;99,9;BR-153/SP;Norte;Outros;1;1;;;;;1
07/04/2010;09:29:00;33;sem vítima;189;BR-153/SP;Sul;Colisão Traseira;1;2;;;;;1
08/04/2010;05:44:00;8;com vítima;106,3;BR-153/SP;Sul;Colisão Lateral;1;2;4;;;;1
10/04/2010;19:44:00;88;sem vítima;268,1;BR-153/SP;Norte;Choque na Praça - Submarino;1;1;;;;;1
10/04/2010;07:12:00;19;sem vítima;296;BR-153/SP;Norte;Colisão Lateral;1;2;;;;;1
11/04/2010;11:43:00;41;com vítima;58,9;BR-153/SP;Norte;Colisão Transversal;1;1;;;1;;2
13/04/2010;10:25:00;28;sem vítima;59,4;BR-153/SP;Sul;Colisão Transversal;1;2;;;;;1
13/04/2010;20:56:00;85;sem vítima;60;BR-153/SP;Norte;Colisão Traseira;1;2;;;;;1
14/04/2010;07:59:00;18;com vítima;62,5;BR-153/SP;Sul;Colisão Traseira;1;3;1;;;;1
14/04/2010;01:15:00;1;com vítima;104,9;BR-153/SP;Norte;Colisão Lateral;1;1;1;;;;1
15/04/2010;19:40:00;95;sem vítima;2;BR-153/SP;Norte;Colisão Traseira;1;2;;;;;1
15/04/2010;19:34:00;94;com vítima;83;BR-153/SP;Norte;Colisão Lateral;2;3;1;;;;1
16/04/2010;12:30:00;48;sem vítima;56,7;BR-153/SP;Norte;Tombamento;1;1;;;;;1
17/04/2010;01:00:00;7;sem vítima;63;BR-153/SP;Norte;Colisão Traseira;1;2;;;;;1
17/04/2010;04:57:00;13;com vítima;315,5;BR-153/SP;Norte;Colisão Lateral;1;0;;1;1;;2
22/04/2010;18:59:00;84;sem vítima;58;BR-153/SP;Norte;Colisão Transversal;1;2;;;;;1
22/04/2010;15:42:00;64;sem vítima;63;BR-153/SP;Sul;Colisão Traseira;1;2;;;;;1
23/04/2010;19:33:00;68;sem vítima;61,8;BR-153/SP;Sul;Choque contra objeto na faixa de rolamento;1;2;;;;;1
23/04/2010;12:24:00;40;sem vítima;62;BR-153/SP;Sul;Colisão Traseira;1;3;;;;;1
23/04/2010;22:34:00;78;com vítima;178,8;BR-153/SP;Norte;Tombamento;1;0;1;;;;1
23/04/2010;19:47:00;69;com vítima;215;BR-153/SP;Norte;Colisão Lateral;1;2;6;;;;1
24/04/2010;19:20:00;67;com vítima;67,2;BR-153/SP;Norte;Colisão Lateral;1;2;1;;;;1
25/04/2010;15:37:00;48;sem vítima;35,8;BR-153/SP;Norte;Colisão Traseira;1;2;;;;;1
25/04/2010;09:53:00;23;sem vítima;80,3;BR-153/SP;Sul;Colisão Traseira;2;2;;;;;1
26/04/2010;12:45:00;45;sem vítima;62;BR-153/SP;Sul;Colisão Traseira;1;2;;;;;1
27/04/2010;12:38:00;30;com vítima;41,1;BR-153/SP;Norte;Choque contra objeto na faixa de rolamento;1;1;;;1;;2
27/04/2010;06:38:00;11;sem vítima;284;BR-153/SP;Sul;Tombamento;1;2;;;;;1
29/04/2010;16:12:00;58;sem vítima;4,5;BR-153/SP;Sul;Tombamento;1;2;;;;;1
30/04/2010;19:39:00;68;sem vítima;98,8;BR-153/SP;Sul;Colisão Traseira;1;3;;;;;1
03/05/2010;08:46:00;10;com vítima;87;BR-153/SP;Sul;Tombamento;1;1;2;;;;1
05/05/2010;21:40:00;70;com vítima;91,7;BR-153/SP;Norte;Tombamento;1;0;1;;;;1
06/05/2010;05:57:00;8;com vítima;50,9;BR-153/SP;Sul;Atropelamento de Animal;1;2;1;;;;1
06/05/2010;07:18:00;12;com vítima;107;BR-153/SP;Sul;Colisão Traseira;2;1;1;;;;1
12/05/2010;06:17:00;11;sem vítima;186;BR-153/SP;Norte;Choque contra objeto na faixa de rolamento;2;3;;;;;1
13/05/2010;08:24:00;21;sem vítima;62;BR-153/SP;Sul;Colisão Traseira;1;2;;;;;1
13/05/2010;09:34:00;30;sem vítima;331,5;BR-153/SP;Norte;Tombamento;1;2;;;;;1
16/05/2010;10:47:00;29;com vítima;98,5;BR-153/SP;Sul;Saída de Pista;1;0;1;;;;1
18/05/2010;22:11:00;70;sem vítima;96;BR-153/SP;Norte;Colisão Traseira;1;2;;;;;1
20/05/2010;06:08:00;15;com vítima;138,2;BR-153/SP;Norte;Colisão Lateral;3;2;2;;;1;3
22/05/2010;09:30:00;90;sem vítima;0,1;BR-153/SP;Norte;Colisão Lateral;1;2;;;;;1
22/05/2010;08:32:00;34;com vítima;75,9;BR-153/SP;Norte;Colisão Transversal;1;0;2;;;;1
23/05/2010;20:47:00;90;sem vítima;217,5;BR-153/SP;Sul;Colisão Lateral;2;2;;;;;1
26/05/2010;18:15:00;58;com vítima;64,2;BR-153/SP;Norte;Colisão Frontal;1;1;;;;1;3
26/05/2010;05:37:00;11;com vítima;117,3;BR-153/SP;Sul;Colisão Transversal;1;1;;;;1;3
27/05/2010;15:50:00;95;sem vítima;15,9;BR-153/SP;Sul;Colisão Lateral;1;2;;;;;1
27/05/2010;00:10:00;3;sem vítima;96;BR-153/SP;Sul;Colisão Traseira;1;2;;;;;1
28/05/2010;12:27:00;34;sem vítima;35,9;BR-153/SP;Sul;Colisão Traseira;1;2;;;;;1
28/05/2010;12:40:00;37;sem vítima;53,9;BR-153/SP;Norte;Colisão Traseira;2;2;;;;;1
28/05/2010;21:09:00;91;com vítima;57,8;BR-153/SP;Norte;Atropelamento  de Pedestre;1;1;1;;;;1
30/05/2010;16:51:00;56;com vítima;89;BR-153/SP;Norte;Colisão Traseira;1;2;1;;;;1
30/05/2010;13:34:00;35;sem vítima;133,4;BR-153/SP;Norte;Engavetamento;3;3;;;;;1
31/05/2010;16:51:00;62;sem vítima;46,9;BR-153/SP;Sul;Colisão Traseira;1;2;;;;;1
31/05/2010;13:01:00;46;sem vítima;60,9;BR-153/SP;Sul;Colisão Lateral;1;3;;;;;1
01/06/2010;05:20:00;5;com vítima;91,7;BR-153/SP;Norte;Saída de Pista;1;0;1;;;;1
01/06/2010;09:52:00;16;sem vítima;98;BR-153/SP;Sul; INCIDENTE - Choque na Praça - Cancela;1;1;;;;;1
04/06/2010;06:22:00;14;sem vítima;182,2;BR-153/SP;Sul;Colisão Transversal;1;3;;;;;1
04/06/2010;06:02:00;12;sem vítima;186;BR-153/SP;Sul;Colisão Traseira;1;4;;;;;1
08/06/2010;14:28:00;56;sem vítima;183;BR-153/SP;Sul; INCIDENTE - Choque na Praça - Cancela;1;1;;;;;1
09/06/2010;06:20:00;10;com vítima;99;BR-153/SP;Norte;Tombamento;1;0;1;;;;1
11/06/2010;15:01:00;48;sem vítima;179;BR-153/SP;Sul;Colisão Traseira;1;3;;;;;1
12/06/2010;09:09:00;21;com vítima;58,8;BR-153/SP;Norte;Colisão Transversal;1;2;2;;;;1
12/06/2010;20:27:00;64;com vítima;71,8;BR-153/SP;Norte;Colisão Lateral;1;1;1;;;;1
12/06/2010;16:06:00;47;sem vítima;339;BR-153/SP;Norte;Colisão Transversal;1;3;;;;;1
15/06/2010;16:20:00;45;sem vítima;99,2;BR-153/SP;Sul;Choque contra Objeto Fixo;1;2;;;;;1
15/06/2010;11:17:00;21;com vítima;174,4;BR-153/SP;Sul;Colisão Transversal;1;1;1;;;;1
16/06/2010;09:32:00;35;sem vítima;263,5;BR-153/SP;Sul;Tombamento;1;1;;;;;1
18/06/2010;16:48:00;61;sem vítima;53,2;BR-153/SP;Norte;Tombamento;1;1;;;;;1
18/06/2010;20:03:00;75;sem vítima;61,6;BR-153/SP;Norte;Colisão Traseira;1;2;;;;;1
20/06/2010;19:26:00;78;sem vítima;62,5;BR-153/SP;Norte;Colisão Lateral;2;2;;;;;1
24/06/2010;09:34:00;31;com vítima;95,8;BR-153/SP;Norte;Colisão Transversal;1;1;2;;;;1
25/06/2010;06:39:00;19;sem vítima;21,8;BR-153/SP;Norte;Tombamento;1;1;;;;;1
28/06/2010;07:28:00;18;sem vítima;132,5;BR-153/SP;Sul;Colisão Traseira;2;2;;;;;1
29/06/2010;22:08:00;75;com vítima;6,2;BR-153/SP;Norte;Colisão Lateral;1;1;1;;;;1
02/07/2010;10:33:00;44;sem vítima;58;BR-153/SP;Sul;Colisão Lateral;1;2;;;;;1
02/07/2010;15:18:00;65;com vítima;96,19999694824219;BR-153/SP;Norte;Colisão Frontal;1;0;1;1;;;2
03/07/2010;16:12:00;40;sem vítima;64;BR-153/SP;Sul;Colisão com Objeto Fixo;1;2;;;;;1
04/07/2010;22:00:00;96;com vítima;155,1999969482422;BR-153/SP;Norte;Colisão Frontal;1;0;1;;;1;3
07/07/2010;07:55:00;15;sem vítima;75;BR-153/SP;Norte;Colisão Traseira;1;3;;;;;1
07/07/2010;06:06:00;11;sem vítima;274,5;BR-153/SP;Norte;Saída de Pista;1;1;;;;;1
08/07/2010;23:10:00;94;com vítima;109;BR-153/SP;Norte;Colisão Traseira;1;2;1;;;;1
09/07/2010;01:23:00;4;sem vítima;98;BR-153/SP;Norte;Colisão Traseira;1;2;;;;;1
12/07/2010;06:30:00;8;sem vítima;63;BR-153/SP;Norte;Colisão Traseira;1;4;;;;;1
13/07/2010;23:09:00;94;sem vítima;116;BR-153/SP;Norte;Colisão Lateral;3;3;;;;;1
15/07/2010;18:50:00;67;sem vítima;125;BR-153/SP;Sul;Choque contra objeto na faixa de rolamento;1;2;;;;;1
17/07/2010;11:00:00;39;sem vítima;64;BR-153/SP;Sul;Colisão Lateral;1;2;;;;;1
17/07/2010;15:43:00;66;sem vítima;141;BR-153/SP;Norte;Saída de Pista;1;1;;;;;1
18/07/2010;15:10:00;73;sem vítima;86,19999694824219;BR-153/SP;Norte;Colisão Traseira;1;2;;;;;1
18/07/2010;17:12:00;112;com vítima;112,5;BR-153/SP;Sul;Saída de Pista;1;1;1;;;;1
20/07/2010;08:45:00;16;sem vítima;62,400001525878906;BR-153/SP;Sul;Colisão com Objeto Fixo;1;5;;;;;1
20/07/2010;01:42:00;3;sem vítima;120;BR-153/SP;Norte;Colisão Traseira;1;2;;;;;1
21/07/2010;06:31:00;4;sem vítima;58;BR-153/SP;Norte;Colisão Transversal;1;4;;;;;1
23/07/2010;03:25:00;6;sem vítima;1,7000000476837158;BR-153/SP;Sul;Colisão Traseira;1;3;;;;;1
25/07/2010;16:10:00;55;com vítima;74,9000015258789;BR-153/SP;Norte;Colisão Transversal;1;2;1;;;;1
26/07/2010;23:09:00;80;sem vítima;99;BR-153/SP;Norte;Colisão Transversal;1;3;;;;;1
27/07/2010;09:15:00;19;com vítima;57;BR-153/SP;Norte;Colisão Lateral;1;2;7;1;3;;2
29/07/2010;08:19:00;30;com vítima;75;BR-153/SP;Norte;Colisão Transversal;1;1;1;;;;1
30/07/2010;13:30:00;61;com vítima;53;BR-153/SP;Sul;Choque contra objeto na faixa de rolamento;1;2;2;;;;1
30/07/2010;18:46:00;96;sem vítima;57;BR-153/SP;Norte;Saída de Pista;1;1;;;;;1
30/07/2010;14:33:00;67;sem vítima;61;BR-153/SP;Sul;Tombamento;1;1;;;;;1
31/07/2010;01:33:00;2;sem vítima;302,79998779296875;BR-153/SP;Norte;Colisão Traseira;2;4;;;;;1
01/08/2010;15:32:00;86;sem vítima;90,9000015258789;BR-153/SP;Norte;Colisão Lateral;1;2;;;;;1
02/08/2010;07:57:00;36;sem vítima;171;BR-153/SP;Sul;Colisão Lateral;1;2;;;;;1
03/08/2010;11:15:00;51;com vítima;107,9000015258789;BR-153/SP;Sul;Colisão Transversal;1;2;;;1;;2
04/08/2010;18:36:00;107;sem vítima;2;BR-153/SP;Norte;Tombamento;1;1;;;;;1
05/08/2010;09:00:00;21;sem vítima;330,20001220703125;BR-153/SP;Norte;Colisão Traseira;1;5;;;;;1
06/08/2010;04:22:00;17;com vítima;2;BR-153/SP;Norte;Colisão Traseira;1;1;2;;;;1
09/08/2010;21:05:00;87;com vítima;279,79998779296875;BR-153/SP;Norte;Saída de Pista;1;0;;1;;;2
10/08/2010;12:36:00;64;sem vítima;265;BR-153/SP;Sul;Saída de Pista;1;2;;;;;1
11/08/2010;06:17:00;12;com vítima;71,5;BR-153/SP;Norte;Colisão Traseira;1;1;;1;;;2
12/08/2010;14:07:00;56;sem vítima;58;BR-153/SP;Sul;Colisão Lateral;1;2;;;;;1
13/08/2010;05:51:00;10;com vítima;39;BR-153/SP;Norte;Colisão Lateral;1;4;1;;;;1
18/08/2010;00:00:00;1;com vítima;57,099998474121094;BR-153/SP;Sul;Colisão Frontal;1;1;;;;1;3
19/08/2010;08:47:00;30;sem vítima;339,4200134277344;BR-153/SP;Norte;Colisão Transversal;1;2;;;;;1
22/08/2010;20:19:00;96;sem vítima;72;BR-153/SP;Sul;Colisão Transversal;1;2;;;;;1
23/08/2010;19:04:00;76;sem vítima;49;BR-153/SP;Sul;Colisão Lateral;2;2;;;;;1
23/08/2010;09:10:00;33;sem vítima;72;BR-153/SP;Norte;Colisão traseira;1;2;;;;;1
23/08/2010;19:42:00;77;sem vítima;289,20001220703125;BR-153/SP;Norte;Colisão Lateral;2;3;;;;;1
24/08/2010;16:29:00;62;sem vítima;68,30000305175781;BR-153/SP;Sul;Colisão Traseira;1;2;;;;;1
27/08/2010;04:53:00;7;com vítima;63;BR-153/SP;Sul;Colisão Traseira;2;1;1;;;;1
29/08/2010;19:01:00;89;com vítima;146;BR-153/SP;Norte;Colisão Lateral;1;1;;1;;;2
31/08/2010;11:07:00;34;sem vítima;6,199999809265137;BR-153/SP;Norte;Colisão Traseira;2;2;;;;;1
31/08/2010;07:41:00;13;sem vítima;80;BR-153/SP;Sul;Colisão Lateral;1;5;;;;;1
31/08/2010;06:03:00;8;sem vítima;83;BR-153/SP;Norte;Colisão traseira;1;2;;;;;1
31/08/2010;14:22:00;50;com vítima;99;BR-153/SP;Norte;Tombamento;1;0;1;;;;1
01/09/2010;15:26:00;72;sem vítima;27,100000381469727;BR-153/SP;Norte;Tombamento;1;1;;;;;1
02/09/2010;08:31:00;27;sem vítima;99;BR-153/SP;Norte;Colisão Traseira;1;2;;;;;1
04/09/2010;13:33:00;61;sem vítima;58;BR-153/SP;Norte;Colisão Transversal;1;2;;;;;1
05/09/2010;12:18:00;61;com vítima;55,70000076293945;BR-153/SP;Norte;Atropelamento  de Pedestre;1;1;1;;;;1
05/09/2010;01:36:00;5;sem vítima;73;BR-153/SP;Sul;Colisão Lateral;1;2;;;;;1
05/09/2010;15:39:00;76;sem vítima;259,79998779296875;BR-153/SP;Sul;Colisão Transversal;1;2;;;;;1
07/09/2010;17:41:00;73;com vítima;274,79998779296875;BR-153/SP;Norte;Capotamento;1;4;3;;1;;2
09/09/2010;07:59:00;30;sem vítima;58;BR-153/SP;Norte;Colisão Transversal;1;3;;;;;1
11/09/2010;20:10:00;80;sem vítima;72;BR-153/SP;Norte;Colisão Lateral;1;2;;;;;1
