data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;caminhao;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos;3
02/04/2022;21:23:48;114;Sem vítima;308,000;BR-101/SC;Decrescente;Choque;1;7;0;0;0;0;1
04/04/2022;23:36:19;114;Sem vítima;277,000;BR-101/SC;Decrescente;Colisão traseira;2;0;0;0;0;0;1
15/04/2022;05:39:17;13;Com vítima;371,000;BR-101/SC;Decrescente;Acidentes de outra natureza;1;0;2;0;0;1;3
15/04/2022;09:58:47;45;Sem vítima;276,000;BR-101/SC;Decrescente;Atropelamento de animal;1;1;0;0;0;0;1
29/04/2022;11:27:05;72;Sem vítima;338,000;BR-101/SC;Crescente;Colisão traseira;2;3;0;0;0;0;1
30/04/2022;01:23:41;4;Com vítima;291,000;BR-101/SC;Crescente;Colisão traseira;1;1;0;1;0;0;2
06/05/2022;10:33:09;57;Sem vítima;337,000;BR-101/SC;Decrescente;Colisão lateral no mesmo sentido;1;3;0;0;0;0;1
25/05/2022;20:06:17;116;Sem vítima;273,000;BR-101/SC;Crescente;Choque;1;3;0;0;0;0;1
27/05/2022;18:07:18;87;Com vítima;390,000;BR-101/SC;Decrescente;Colisão lateral no mesmo sentido;2;4;0;1;0;0;2
31/05/2022;20:11:25;118;Sem vítima;329,000;BR-101/SC;Decrescente;Queda de carga;1;1;0;0;0;0;1
30/06/2022;07:13:33;15;Sem vítima;394,000;BR-101/SC;Crescente;Colisão traseira;2;3;0;0;0;0;1
01/07/2022;12:48:14;73;Sem vítima;332,000;BR-101/SC;Decrescente;Colisão traseira;1;2;0;0;0;0;1
01/07/2022;18:07:38;95;Sem vítima;301,000;BR-101/SC;Decrescente;Colisão lateral no mesmo sentido;1;2;0;0;0;0;1
01/07/2022;20:05:02;110;Sem vítima;355,000;BR-101/SC;Decrescente;Colisão traseira;1;2;0;0;0;0;1
02/07/2022;22:08:33;129;Sem vítima;283,000;BR-101/SC;Decrescente;Colisão traseira;1;6;0;0;0;0;1
