data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;caminhao;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos;3
03/03/2021;14:51:26;221;ac03 - Acidente com vítima ilesa;756;BR-365/MG;Leste;Choque - Meio fio;1;1;;;;;1
04/03/2021;09:32:44;92;ac03 - Acidente com vítima ilesa;681;BR-365/MG;Leste;Colisão Traseira;1;2;;;;;1
08/03/2021;00:51:34;2;ac01 - Acidente com vitima fatal;647,4;BR-365/MG;Leste;Choque - Veiculo parado no acostamento;1;9;2;;;1;3
12/03/2021;05:55:59;24;ac03 - Acidente com vítima ilesa;757;BR-365/MG;Oeste;Choque - Meio fio;1;1;;;;;1
12/03/2021;16:04:41;205;ac02 - Acidente com vítima;62;BR-364/GO;Leste;Colisão Traseira;1;1;;1;;;2
12/03/2021;22:54:34;330;ac03 - Acidente com vítima ilesa;653,3;BR-365/MG;Leste;Choque - Talude ou Barranco;1;2;;;;;1
14/03/2021;17:35:36;183;ac03 - Acidente com vítima ilesa;779;BR-365/MG;Oeste;Choque - Outros;1;1;;;;;1
14/03/2021;22:52:46;252;ac02 - Acidente com vítima;694,3;BR-365/MG;Leste;Colisão Traseira;2;1;1;;;;1
16/03/2021;13:38:47;180;ac03 - Acidente com vítima ilesa;637,5;BR-365/MG;Oeste;Choque - Meio fio;1;1;;;;;1
17/03/2021;00:01:50;1;ac02 - Acidente com vítima;706,6;BR-365/MG;Leste;Colisão lateral no mesmo sentido;2;0;2;;;;1
17/03/2021;09:10:51;104;ac03 - Acidente com vítima ilesa;753;BR-365/MG;Leste;Choque - Sinalização;1;1;;;;;1
17/03/2021;14:22:56;201;ac02 - Acidente com vítima;664,9;BR-365/MG;Oeste;Colisão Transversal;1;1;1;;;;1
18/03/2021;02:33:38;13;ac03 - Acidente com vítima ilesa;749;BR-365/MG;Leste;Choque - Sinalização;1;1;;;;;1
22/03/2021;11:04:51;133;ac02 - Acidente com vítima;75;BR-364/GO;Oeste;Tombamento;1;0;1;;;;1
23/03/2021;14:17:14;177;ac02 - Acidente com vítima;5;BR-364/GO;Leste;Capotamento;1;0;1;;;;1
24/03/2021;19:15:18;312;ac03 - Acidente com vítima ilesa;757;BR-365/MG;Oeste;Choque - Sinalização;1;1;;;;;1
25/03/2021;09:44:17;101;ac02 - Acidente com vítima;160,3;BR-364/GO;Leste;Colisão Traseira;2;1;1;;;;1
