data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;caminhao;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos;3
01/03/2010;06:33:00;9;com vítima;97,1;BR-116/RJ;Norte;Colisão frontal;1;;;4;;;2
01/03/2010;11:54:00;21;com vítima;103,7;BR-116/RJ;Norte;Abalroamento longitudinal;1;1;1;;;;1
01/03/2010;15:09:00;25;sem vítima;141,2;BR-116/RJ;Sul;Choque em barreira New Jersey ;1;1;;;;;1
01/03/2010;16:50:00;30;sem vítima;141,25;BR-116/RJ;Sul;Colisão traseira;2;3;;;;;1
01/03/2010;17:53:00;31;com vítima;53,2;BR-116/RJ;Norte;Colisão frontal;1;1;;;;1;3
01/03/2010;21:54:00;42;com vítima;138,95;BR-116/RJ;Sul;Choque em defensa;1;;1;;;;1
01/03/2010;22:37:00;44;com vítima;138,7;BR-116/RJ;Sul;Choque em defensa;1;;1;;;;1
02/03/2010;17:40:00;31;com vítima;27,4;BR-116/RJ;Sul;Derrapagem;1;;1;;;;1
03/03/2010;06:30:00;2;sem vítima;114,5;BR-116/RJ;Sul;Colisão traseira;1;3;;;;;1
04/03/2010;16:30:00;25;com vítima;141,7;BR-116/RJ;Sul;Colisão traseira;2;32;1;;;;1
04/03/2010;21:02:00;37;com vítima;139,5;BR-116/RJ;Sul;Derrapagem;3;3;1;1;;;2
06/03/2010;17:26:00;24;com vítima;101,9;BR-116/RJ;Sul;Colisão traseira;1;;5;;;;1
06/03/2010;17:50:00;25;sem vítima;133,5;BR-116/RJ;Norte;Colisão traseira;2;2;;;;;1
08/03/2010;12:24:00;29;com vítima;40,3;BR-116/RJ;Norte;Abalroamento longitudinal;1;1;;1;;;2
08/03/2010;23:20:00;67;sem vítima;113,8;BR-116/RJ;Sul;Atropelamento de animal;1;1;;;;;1
09/03/2010;20:22:00;46;com vítima;144;BR-116/RJ;Sul;Abalroamento longitudinal;1;18;1;4;;;2
10/03/2010;10:05:00;8;com vítima;90,7;BR-116/RJ;Norte;Colisão traseira;1;1;3;;;;1
10/03/2010;14:40:00;20;sem vítima;142,8;BR-116/RJ;Norte;Abalroamento longitudinal;1;2;;;;;1
11/03/2010;06:10:00;2;sem vítima;141,1;BR-116/RJ;Sul;Colisão traseira;1;2;;;;;1
11/03/2010;13:35:00;18;com vítima;132,05;BR-116/RJ;Norte;Colisão traseira;2;2;;1;;;2
12/03/2010;08:20:00;11;sem vítima;130,5;BR-116/RJ;Norte;Choque em veículo parado na pista;1;1;;;;;1
12/03/2010;16:35:00;34;com vítima;76,5;BR-116/RJ;Norte;Abalroamento longitudinal;1;;2;;;;1
12/03/2010;17:45:00;40;sem vítima;141,2;BR-116/RJ;Sul;Choque em objeto fixo;1;1;;;;;1
15/03/2010;17:36:00;40;com vítima;64,9;BR-116/RJ;Norte;Choque em defensa;1;;3;;;;1
16/03/2010;15:14:00;26;com vítima;137,38;BR-116/RJ;Sul;Abalroamento longitudinal;1;2;1;;;;1
16/03/2010;15:23:00;27;com vítima;137,03;BR-116/RJ;Sul;Colisão traseira;3;2;1;;;;1
16/03/2010;19:19:00;35;sem vítima;132,8;BR-116/RJ;Sul;Colisão traseira;1;2;;;;;1
17/03/2010;06:35:00;4;sem vítima;110,5;BR-116/RJ;Norte;Choque em veículo parado na pista;1;2;;;;;1
17/03/2010;13:10:00;9;com vítima;95,1;BR-116/RJ;Sul;Abalroamento longitudinal;1;;3;;;;1
17/03/2010;15:03:00;13;com vítima;121,95;BR-116/RJ;Sul;Choque em defensa;1;1;1;;;;1
17/03/2010;18:51:00;22;com vítima;141,25;BR-116/RJ;Sul;Derrapagem;1;1;1;;;;1
19/03/2010;18:07:00;37;com vítima;91,2;BR-116/RJ;Sul;Colisão traseira;1;5;3;;;;1
22/03/2010;12:36:00;21;sem vítima;6,2;BR-116/RJ;Sul;Capotamento;1;1;;;;;1
24/03/2010;13:31:00;20;sem vítima;144;BR-116/RJ;Norte;Abalroamento longitudinal;1;2;;;;;1
25/03/2010;12:10:00;13;sem vítima;125;BR-116/RJ;Norte;Queda de carga;1;1;;;;;1
26/03/2010;13:03:00;31;sem vítima;132,4;BR-116/RJ;Sul;Derrapagem;1;1;;;;;1
29/03/2010;14:44:00;35;com vítima;143,8;BR-116/RJ;Sul;Abalroamento longitudinal;1;1;1;;;;1
29/03/2010;16:15:00;143,5;sem vítima;143,5;BR-116/RJ;Sul;Abalroamento longitudinal;1;2;;;;;1
29/03/2010;16:59:00;98,1;sem vítima;98,1;BR-116/RJ;Norte;Colisão traseira;1;2;;;;;1
31/03/2010;02:45:00;1;com vítima;105,2;BR-116/RJ;Sul;Capotamento;1;;2;;;;1
