id_conce; id_acidente_tip; dia; mes; total; id_risco
1;2;25;1;1;1
1;2;27;1;1;1
1;3;15;1;1;1
1;4;13;11;1;1
1;4;24;1;1;1
1;4;25;1;1;1
1;4;29;3;2;1
1;5;29;3;1;2
1;6;2;2;1;1
1;6;3;1;1;1
1;6;3;9;1;3
1;6;3;10;1;1
1;6;4;1;1;1
1;6;4;4;1;1
1;6;4;4;1;1
1;6;4;7;1;2
1;6;5;2;1;3
1;6;6;1;1;2
1;6;6;2;1;1
1;6;6;9;1;3
1;6;6;9;1;3
1;6;6;11;1;2
1;6;8;3;1;3
1;6;8;7;2;1
1;6;8;9;1;1
1;6;9;1;1;1
1;6;9;2;1;2
1;6;10;2;1;1
1;6;10;5;1;1
1;6;11;1;1;1
1;6;11;8;1;1
1;6;11;12;1;1
1;6;15;9;1;1
1;6;16;1;1;1
1;6;17;1;1;3
1;6;17;10;1;2
1;6;20;2;1;1
1;6;20;11;1;2
1;6;22;3;1;1
1;6;22;10;1;1
1;6;23;9;1;1
1;6;23;10;1;1
1;6;25;1;1;1
1;6;25;4;1;1
1;6;25;10;1;1
1;6;25;11;1;1
1;6;26;11;2;1
1;6;27;3;1;2
1;6;27;11;1;2
1;6;27;11;1;2
1;6;30;12;1;3
1;6;30;12;1;3
1;6;31;8;1;2
1;7;9;1;1;1
1;7;9;1;1;1
1;7;30;3;1;2
1;7;31;3;2;2
1;11;1;8;1;1
1;11;1;9;3;1
1;11;1;10;1;1
1;11;1;12;1;1
1;11;2;3;2;1
1;11;2;7;1;2
1;11;2;10;1;1
1;11;3;1;2;1
1;11;3;2;1;1
1;11;3;3;3;1
1;11;3;5;1;1
1;11;3;7;2;1
1;11;3;8;2;1
1;11;3;10;1;1
1;11;4;1;1;1
1;11;4;10;2;2
1;11;5;2;1;1
1;11;5;9;2;1
1;11;5;11;2;1
1;11;5;11;1;1
1;11;5;12;2;1
1;11;5;12;2;1
1;11;6;4;3;1
1;11;6;5;1;1
1;11;6;5;1;1
1;11;6;8;2;1
1;11;6;11;1;1
1;11;6;12;1;1
1;11;7;7;2;1
1;11;7;10;1;1
1;11;7;12;1;1
1;11;8;4;1;1
1;11;8;7;1;1
1;11;8;10;1;1
1;11;9;4;1;1
1;11;9;8;2;1
1;11;10;11;1;1
1;11;10;12;1;1
1;11;11;4;1;1
1;11;11;8;1;2
1;11;12;1;3;1
1;11;12;9;3;2
1;11;12;9;3;2
1;11;12;11;1;1
1;11;12;12;1;1
1;11;13;1;2;1
1;11;13;5;3;2
1;11;13;6;1;1
1;11;13;11;1;1
1;11;14;7;2;1
1;11;14;9;1;1
1;11;14;12;1;1
1;11;15;5;1;1
1;11;15;5;2;2
1;11;15;7;1;1
1;11;16;3;2;1
1;11;16;6;1;1
1;11;16;9;1;1
1;11;16;9;3;1
1;11;17;2;2;2
1;11;17;3;1;1
1;11;17;6;1;1
1;11;17;6;2;1
1;11;17;10;2;1
1;11;18;3;2;1
1;11;18;4;1;1
1;11;18;8;1;1
1;11;18;10;1;1
1;11;18;11;2;1
1;11;19;3;1;1
1;11;19;3;2;2
1;11;19;3;1;1
1;11;19;5;2;1
1;11;19;8;2;1
1;11;19;9;1;1
1;11;19;11;1;1
1;11;19;11;2;1
1;11;19;12;1;1
1;11;20;2;1;1
1;11;20;8;1;1
1;11;20;10;2;1
1;11;20;11;2;1
1;11;21;7;1;1
1;11;21;8;1;1
1;11;22;4;2;1
1;11;22;9;1;2
1;11;22;9;1;1
1;11;22;12;1;1
1;11;23;1;1;1
1;11;23;5;1;1
1;11;23;9;1;1
1;11;24;4;2;1
1;11;24;6;1;1
1;11;24;7;1;1
1;11;24;10;1;1
1;11;24;12;1;1
1;11;25;6;1;1
1;11;25;8;1;1
1;11;25;10;2;1
1;11;26;9;1;1
1;11;26;10;1;1
1;11;27;1;1;1
1;11;27;2;1;1
1;11;27;2;3;1
