id_conce; id_acidente_tip; dia; mes; total; id_risco
16;166;3;9;1;1
16;18;10;9;1;1
16;55;12;9;1;1
16;18;16;9;1;1
16;50;17;9;1;2
16;55;17;9;1;1
16;18;18;9;1;1
16;29;21;9;1;1
16;35;21;9;1;1
16;165;28;9;1;1
16;36;29;9;1;1
16;18;1;10;1;2
16;18;1;10;1;2
16;13;2;10;1;1
16;80;2;10;1;1
16;55;3;10;1;1
16;13;5;10;2;1
16;13;7;10;2;1
16;18;8;10;1;1
16;13;8;10;2;1
16;165;11;10;1;1
16;30;12;10;1;2
16;18;13;10;1;1
16;21;13;10;1;1
16;64;17;10;1;3
16;13;18;10;1;1
16;18;19;10;1;1
16;13;20;10;2;1
16;6;22;10;1;1
16;6;23;10;2;1
16;18;27;10;1;1
16;13;28;10;1;1
16;55;29;10;4;1
16;13;31;10;1;3
16;13;4;11;1;1
16;163;6;11;1;1
16;13;9;11;1;2
16;58;14;11;1;1
16;55;14;11;1;1
16;13;14;11;1;2
16;13;16;11;1;1
16;13;16;11;2;1
16;21;17;11;1;1
16;163;19;11;1;1
16;163;20;11;1;1
16;19;22;11;1;1
16;58;25;11;1;2
16;30;26;11;2;1
16;18;26;11;1;1
16;58;27;11;1;1
16;11;27;11;2;1
16;21;28;11;1;1
16;58;28;11;1;1
16;47;5;12;1;1
16;6;6;12;1;1
16;6;6;12;1;1
16;166;7;12;1;1
16;13;11;12;1;1
16;18;17;12;1;1
16;13;17;12;1;1
16;11;17;12;1;1
16;6;20;12;1;1
16;58;23;12;1;1
16;13;27;12;1;1
16;11;4;1;1;1
16;35;8;1;1;1
16;18;17;1;1;1
16;6;22;1;1;2
16;13;22;1;1;1
16;48;24;1;2;1
16;6;31;1;1;1
16;166;3;2;1;1
16;13;3;2;2;1
16;30;6;2;1;2
16;13;8;2;2;2
16;18;8;2;1;1
16;13;12;2;1;1
16;13;12;2;1;1
16;55;13;2;1;1
16;13;18;2;1;1
16;49;19;2;1;1
16;13;19;2;1;1
16;13;19;2;2;1
16;30;20;2;2;1
16;18;22;2;1;1
16;18;22;2;1;1
16;58;23;2;1;1
16;18;23;2;1;1
16;163;25;2;1;1
16;18;26;2;1;1
16;13;28;2;2;2
16;18;2;3;1;1
16;58;2;3;1;1
16;165;3;3;1;1
16;13;4;3;1;1
16;49;8;3;1;3
16;165;12;3;1;1
16;13;12;3;1;2
16;170;12;3;1;1
16;35;14;3;1;1
16;13;14;3;2;1
16;165;16;3;1;1
16;55;17;3;2;1
16;163;17;3;1;1
16;30;17;3;1;1
16;163;18;3;1;1
16;18;22;3;1;1
16;6;23;3;1;1
16;163;24;3;1;1
16;13;25;3;2;1
16;30;25;3;1;1
16;13;25;3;1;1
16;18;27;3;1;1
16;13;1;4;1;1
16;30;3;4;1;2
16;55;4;4;1;2
16;163;6;4;1;1
16;18;6;4;1;1
16;49;10;4;1;1
16;36;12;4;1;1
16;18;13;4;1;1
16;13;17;4;1;1
16;58;18;4;1;2
16;21;22;4;1;1
16;55;23;4;1;1
16;21;26;4;1;1
16;11;27;4;1;1
16;13;29;4;1;3
16;55;30;4;1;1
16;18;2;5;1;2
16;13;5;5;2;1
16;18;7;5;1;1
16;13;8;5;1;1
16;18;9;5;1;1
16;55;9;5;1;1
16;13;9;5;1;2
16;18;13;5;1;1
16;55;13;5;1;1
16;30;14;5;1;2
16;6;14;5;1;1
16;30;16;5;1;1
16;18;17;5;1;1
16;18;18;5;1;1
16;55;20;5;2;1
16;30;24;5;2;1
16;165;26;5;1;1
16;55;26;5;1;1
16;36;30;5;1;2
16;18;1;6;1;2
16;165;2;6;1;1
16;18;10;6;1;2
16;36;11;6;1;1
16;13;16;6;1;1
16;13;17;6;1;2
16;21;19;6;1;1
16;19;20;6;1;2
16;13;23;6;1;1
16;13;23;6;1;1
16;18;27;6;1;1
16;13;2;7;1;1
16;30;9;7;2;1
16;18;12;7;1;1
16;13;13;7;2;1
16;166;15;7;1;1
16;55;16;7;1;1
16;163;16;7;1;1
16;30;17;7;1;2
16;19;20;7;1;3
16;55;21;7;2;1
16;163;23;7;1;1
16;13;25;7;2;1
16;18;27;7;1;1
16;19;27;7;1;3
16;13;29;7;1;1
16;166;2;8;1;1
16;55;3;8;1;1
16;13;4;8;1;1
16;55;4;8;1;2
16;18;5;8;1;1
16;55;5;8;1;1
16;58;6;8;1;1
16;13;6;8;1;3
16;55;11;8;2;1
16;18;12;8;1;1
16;21;14;8;1;1
16;19;23;8;2;1
16;13;30;8;1;1
16;18;30;8;1;2
16;30;1;9;1;1
16;30;2;9;1;2
16;55;2;9;1;1
16;18;4;9;1;1
16;18;4;9;1;1
16;13;4;9;1;1
16;170;8;9;1;1
16;36;10;9;1;1
16;168;10;9;1;1
16;13;13;9;2;2
16;18;14;9;1;1
16;36;14;9;1;1
16;163;14;9;1;1
16;55;16;9;1;1
16;11;17;9;7;3
16;18;23;9;1;1
16;13;23;9;2;1
16;18;5;10;1;1
16;164;6;10;1;1
16;13;7;10;1;1
16;64;12;10;1;2
16;55;14;10;2;1
16;21;16;10;1;1
16;13;18;10;2;1
16;58;19;10;1;1
16;18;23;10;1;1
16;163;24;10;1;1
16;18;25;10;1;1
16;11;28;10;2;1
16;11;30;10;1;1
16;19;31;10;1;3
16;13;31;10;1;1
16;75;10;11;1;1
16;4;13;11;1;1
16;55;14;11;2;1
16;18;24;11;1;1
16;18;24;11;1;1
16;75;25;11;1;1
16;75;25;11;1;1
16;4;27;11;1;1
16;75;28;11;1;1
16;18;7;12;1;1
16;4;11;12;1;1
16;18;12;12;1;1
16;4;14;12;1;1
16;4;14;12;2;1
16;75;16;12;1;1
16;4;23;12;1;1
16;75;28;12;1;1
16;75;7;1;1;1
16;75;12;1;1;1
16;4;19;1;1;2
16;75;22;1;1;1
16;4;26;1;1;1
16;6;30;1;1;1
16;11;2;2;1;2
16;75;3;2;1;1
16;11;8;2;1;1
16;75;9;2;1;1
16;4;14;2;1;1
16;4;15;2;1;1
16;7;18;2;1;1
16;4;18;2;1;1
16;4;21;2;1;1
16;18;24;2;1;1
16;75;28;2;1;1
16;4;2;3;1;2
16;10;8;3;1;1
16;75;12;3;1;1
16;55;16;3;2;1
16;11;18;3;1;1
16;4;18;3;1;1
16;75;25;3;1;1
16;18;29;3;1;1
16;4;31;3;1;1
16;55;1;4;1;1
16;77;4;4;1;1
16;75;12;4;1;1
16;4;21;4;1;1
16;77;29;4;1;1
16;4;4;5;1;1
16;75;4;5;1;1
16;4;5;5;1;1
16;18;15;5;1;1
16;55;25;5;1;1
16;75;30;5;1;1
16;77;5;6;1;1
16;75;23;6;2;1
16;77;23;6;1;2
16;11;30;6;1;1
16;55;8;7;1;1
16;11;13;7;2;1
16;55;14;7;1;1
16;4;18;7;1;1
16;4;20;7;2;1
16;4;3;8;1;1
16;4;10;8;1;1
16;75;10;8;1;1
16;18;12;8;1;1
16;75;21;8;1;1
16;10;24;8;1;1
16;18;26;8;1;2
16;75;13;9;1;1
16;4;22;9;1;1
16;4;23;9;1;2
16;75;27;9;1;1
16;18;27;9;1;1
16;53;27;9;1;1
16;55;6;10;1;1
16;4;7;10;1;1
16;55;9;10;1;1
16;55;11;10;1;1
16;18;16;10;1;1
16;7;20;10;1;1
16;77;21;10;1;3
16;75;22;10;1;1
16;75;29;10;1;1
16;4;31;10;1;1
16;4;15;11;1;1
16;4;29;11;1;1
16;4;29;11;1;2
16;11;12;12;2;2
16;75;19;12;1;1
16;78;22;12;1;1
16;4;23;12;1;1
16;75;24;12;1;1
16;55;4;1;1;1
16;75;9;1;2;2
16;4;9;1;1;1
16;75;11;1;1;2
16;11;11;1;1;1
16;75;13;1;1;1
16;4;20;1;1;2
16;18;21;1;1;1
16;75;21;1;1;1
16;7;30;1;1;3
16;18;30;1;1;1
16;75;4;2;1;1
16;4;13;2;1;2
16;53;15;2;1;1
16;55;22;2;1;1
16;75;24;2;1;1
16;4;6;3;2;1
16;75;18;3;1;1
16;75;22;3;1;1
16;77;28;3;1;1
16;75;30;3;1;1
16;4;30;3;1;1
16;4;31;3;1;1
16;55;5;4;1;1
16;4;16;4;1;1
16;18;24;4;1;1
16;75;3;5;1;1
16;4;9;5;1;1
16;75;10;5;1;1
16;75;31;5;1;1
16;75;31;5;1;1
16;18;7;6;1;1
16;77;12;6;1;1
16;18;17;6;1;1
16;18;21;6;1;1
16;7;28;6;1;1
16;75;8;7;1;1
16;4;10;7;1;1
16;4;10;7;1;1
16;4;24;7;1;1
16;77;18;8;1;1
16;18;30;8;1;1
16;18;30;6;1;1
16;18;30;6;1;1
16;4;30;6;1;1
16;4;7;7;1;1
16;18;14;7;1;1
16;75;17;7;1;1
16;4;17;7;1;1
16;78;19;7;1;1
16;11;20;7;1;1
16;4;21;7;1;1
16;78;22;7;1;1
16;18;23;7;1;1
16;78;23;7;1;1
16;53;24;7;1;1
16;11;24;7;1;1
16;78;24;7;1;1
16;78;26;7;1;1
16;4;27;7;1;1
16;53;27;7;1;1
16;78;27;7;1;1
16;75;28;7;1;1
