id_acidente_tip;dia;mes;qt_acidentes,id_risco
18;5;1;1;1
18;7;1;1;1
13;10;1;1;1
13;11;1;1;1
19;11;1;1;3
18;12;1;1;2
18;13;1;1;1
18;14;1;1;1
24;15;1;1;1
29;15;1;1;1
29;15;1;2;1
13;15;1;1;1
24;16;1;1;1
29;16;1;1;1
30;18;1;1;2
24;18;1;1;1
38;21;1;1;1
18;23;1;1;3
18;23;1;1;1
18;24;1;1;1
38;27;1;2;1
19;29;1;1;2
13;29;1;1;1
13;29;1;1;1
24;29;1;1;1
30;30;1;2;1
24;30;1;1;1
13;31;1;2;1
96;1;2;1;1
161;4;2;1;1
29;4;2;1;1
18;4;2;1;1
36;5;2;1;1
13;6;2;1;1
24;7;2;1;1
30;9;2;1;2
49;10;2;1;1
24;11;2;1;1
29;12;2;1;1
19;12;2;1;3
18;13;2;1;1
29;13;2;1;1
13;14;2;1;1
32;17;2;1;1
161;17;2;1;1
44;17;2;1;3
30;19;2;1;1
18;20;2;1;3
30;23;2;1;1
6;24;2;1;1
18;25;2;1;1
161;25;2;1;1
29;25;2;1;1
63;27;2;1;1
13;27;2;1;1
63;27;2;1;1
13;27;2;3;1
96;28;2;1;1
6;1;3;1;1
34;6;3;1;1
44;7;3;1;2
29;7;3;1;1
24;8;3;1;1
30;8;3;1;3
19;9;3;2;1
29;10;3;1;1
13;10;3;2;1
161;10;3;1;1
30;10;3;1;1
30;10;3;1;2
18;11;3;1;1
13;11;3;1;1
34;12;3;1;1
13;12;3;2;1
24;12;3;1;1
24;12;3;2;1
18;12;3;1;1
18;13;3;1;2
13;14;3;2;1
29;16;3;1;2
18;17;3;1;1
30;18;3;1;1
24;20;3;1;1
24;20;3;2;2
29;21;3;1;1
96;22;3;1;1
24;24;3;2;1
13;24;3;1;1
96;24;3;1;1
13;26;3;1;1
24;27;3;1;1
13;28;3;1;2
13;28;3;2;3
29;28;3;1;1
29;29;3;1;1
29;29;3;1;1
24;29;3;1;1
24;31;3;2;1
24;1;4;1;1
13;1;4;2;2
18;1;4;1;1
18;2;4;1;1
13;2;4;1;1
13;3;4;1;2
18;5;4;1;1
24;5;4;1;1
13;6;4;2;1
13;10;4;2;1
18;10;4;1;1
32;12;4;1;1
13;13;4;1;1
18;14;4;1;1
24;14;4;1;1
18;14;4;1;1
13;14;4;1;1
18;16;4;1;1
13;16;4;1;1
6;16;4;1;2
13;17;4;1;1
18;17;4;1;1
29;18;4;1;1
29;18;4;1;1
160;18;4;1;1
24;18;4;1;1
96;18;4;1;1
63;20;4;1;1
18;22;4;1;2
18;22;4;1;2
13;24;4;1;1
18;25;4;1;1
29;25;4;1;1
96;26;4;1;1
18;26;4;1;2
13;27;4;2;1
18;27;4;1;1
29;28;4;1;2
18;28;4;1;1
24;29;4;2;1
96;29;4;1;1
13;29;4;2;2
13;29;4;1;1
96;4;5;1;1
47;5;5;1;1
18;5;5;1;1
63;5;5;1;1
24;5;5;2;2
24;6;5;1;1
24;7;5;1;1
29;7;5;1;1
24;7;5;1;1
13;8;5;1;1
30;9;5;1;2
29;10;5;1;1
13;10;5;2;1
24;12;5;1;1
19;13;5;1;2
18;14;5;1;1
24;14;5;1;1
19;15;5;2;2
29;15;5;1;1
6;20;5;1;2
13;21;5;1;1
63;21;5;1;1
18;22;5;1;1
13;22;5;1;2
13;22;5;1;1
96;25;5;1;1
24;25;5;1;1
13;27;5;2;1
24;28;5;1;1
24;28;5;1;2
18;29;5;1;1
18;29;5;1;1
24;29;5;1;1
6;30;5;1;2
161;30;5;1;2
13;1;6;2;1
18;2;6;1;1
24;3;6;1;2
13;3;6;2;2
18;3;6;1;1
24;8;6;1;2
48;9;6;2;2
24;10;6;1;1
13;10;6;1;1
18;12;6;1;1
49;12;6;1;1
13;12;6;1;1
18;17;6;1;2
13;17;6;2;1
13;18;6;2;1
13;22;6;1;1
18;22;6;1;1
117;22;6;1;1
29;24;6;1;1
13;25;6;1;1
18;26;6;1;1
18;26;6;1;1
13;29;6;1;2
30;30;6;1;2
18;1;7;1;1
13;1;7;2;1
161;2;7;1;1
24;3;7;1;1
29;4;7;1;1
30;4;7;2;2
13;6;7;1;1
161;8;7;1;1
18;9;7;1;1
13;9;7;1;2
13;10;7;1;1
11;10;7;1;1
13;11;7;1;2
13;15;7;1;3
31;16;7;1;3
24;16;7;1;1
13;17;7;2;3
30;17;7;2;2
24;17;7;1;1
45;17;7;1;1
13;20;7;2;1
30;22;7;2;1
18;22;7;2;2
24;22;7;1;1
18;24;7;1;1
161;26;7;1;1
6;27;7;1;2
24;28;7;2;1
29;28;7;1;1
48;29;7;2;1
18;30;7;1;1
18;4;8;1;2
96;7;8;1;1
24;7;8;2;1
29;7;8;1;1
13;7;8;2;1
13;8;8;1;3
161;10;8;1;1
13;10;8;2;1
63;11;8;1;1
30;11;8;1;1
18;12;8;1;1
161;15;8;1;2
18;17;8;1;1
24;17;8;1;1
13;17;8;2;1
18;25;8;1;1
24;27;8;1;1
63;27;8;1;1
13;27;8;1;1
161;29;8;1;1
13;31;8;1;1
40;2;9;1;3
13;2;9;2;1
13;2;9;1;2
13;3;9;2;1
13;3;9;1;1
13;4;9;2;1
18;4;9;1;1
96;8;9;1;1
6;9;9;1;1
13;9;9;2;1
38;10;9;1;1
30;10;9;1;2
13;12;9;3;2
13;12;9;1;1
13;13;9;1;1
24;15;9;1;1
13;18;9;1;2
13;21;9;2;1
48;22;9;1;1
30;22;9;1;1
46;23;9;3;3
29;23;9;1;1
24;25;9;1;1
29;28;9;1;2
30;30;9;1;2
24;3;10;1;1
30;4;10;1;1
18;6;10;1;1
18;7;10;1;1
29;7;10;1;1
18;9;10;1;1
19;9;10;1;3
48;10;10;1;1
13;11;10;1;1
13;13;10;2;2
13;15;10;1;1
96;16;10;1;1
29;17;10;1;1
29;18;10;1;1
13;18;10;1;1
24;19;10;1;1
13;21;10;1;2
24;21;10;1;1
13;22;10;1;1
29;22;10;1;1
18;22;10;1;1
18;23;10;1;1
18;23;10;1;1
29;24;10;1;1
13;24;10;2;1
6;27;10;1;2
13;27;10;2;1
63;27;10;2;3
18;28;10;1;2
13;28;10;2;1
161;28;10;1;1
161;28;10;1;1
34;28;10;1;2
24;29;10;2;1
13;29;10;2;1
24;29;10;1;1
36;5;11;1;1
18;5;11;1;1
13;8;11;1;1
18;10;11;1;1
13;11;11;2;1
24;12;11;1;1
47;12;11;1;1
24;14;11;1;1
18;15;11;1;1
24;16;11;1;1
29;16;11;1;1
161;17;11;1;1
48;18;11;1;2
96;19;11;1;1
18;20;11;1;1
18;20;11;1;1
18;21;11;1;1
13;22;11;1;2
24;23;11;1;1
29;23;11;1;1
24;25;11;2;1
48;26;11;2;1
34;26;11;1;2
13;27;11;1;1
24;27;11;1;1
30;29;11;1;1
13;1;12;2;3
161;2;12;1;1
30;6;12;1;1
18;8;12;1;1
96;8;12;1;1
29;8;12;1;1
30;10;12;1;3
6;10;12;1;2
6;11;12;1;3
13;11;12;1;1
13;11;12;2;1
13;12;12;1;2
19;13;12;1;3
18;14;12;1;1
6;15;12;1;2
13;16;12;2;1
13;16;12;1;2
96;19;12;1;1
13;20;12;1;2
36;20;12;1;1
24;23;12;1;2
18;24;12;1;1
34;25;12;1;1
49;28;12;1;3
24;1;1;1;2
18;4;1;1;1
161;6;1;1;1
13;9;1;1;1
6;11;1;1;2
161;12;1;1;2
24;13;1;1;1
24;13;1;1;1
13;13;1;1;1
24;14;1;1;1
31;17;1;1;2
24;18;1;1;1
6;19;1;1;2
24;20;1;1;1
13;20;1;1;3
36;21;1;1;1
13;22;1;1;2
29;22;1;1;1
13;22;1;1;1
21;22;1;1;1
41;23;1;1;1
18;23;1;1;2
13;25;1;1;1
18;26;1;1;2
24;26;1;1;1
13;27;1;2;1
29;27;1;1;1
29;28;1;1;1
29;28;1;1;1
30;29;1;1;2
161;31;1;1;1
161;1;2;1;1
13;3;2;1;1
18;4;2;1;1
13;5;2;1;2
161;6;2;1;2
6;9;2;1;1
30;10;2;1;1
18;11;2;1;1
6;12;2;1;1
29;13;2;1;1
18;13;2;1;2
18;14;2;1;1
18;14;2;1;2
29;14;2;1;1
13;16;2;2;1
18;18;2;1;1
13;19;2;2;3
13;20;2;1;3
13;24;2;1;2
49;25;2;1;1
13;26;2;1;1
18;28;2;1;1
19;29;2;1;2
18;29;2;1;1
18;29;2;1;1
18;1;3;1;1
29;2;3;1;1
24;2;3;1;1
24;4;3;1;2
18;7;3;1;2
18;8;3;1;2
24;8;3;1;1
6;9;3;1;2
30;9;3;1;2
13;9;3;1;1
29;10;3;1;1
6;10;3;1;3
24;10;3;1;1
13;11;3;2;1
38;13;3;1;1
29;14;3;1;1
13;16;3;1;1
18;16;3;1;1
11;17;3;2;1
24;17;3;1;1
161;18;3;1;1
18;18;3;1;1
29;18;3;1;1
6;19;3;1;1
18;21;3;1;1
24;22;3;2;1
6;23;3;1;2
18;25;3;1;1
161;27;3;1;1
19;27;3;2;3
18;27;3;1;1
24;29;3;1;1
27;31;3;1;2
13;1;4;1;2
24;1;4;2;1
18;2;4;1;1
30;3;4;1;2
13;4;4;1;1
29;5;4;1;1
13;6;4;1;1
13;6;4;1;1
18;7;4;1;1
13;9;4;1;1
13;12;4;1;1
18;12;4;1;1
11;15;4;1;1
30;18;4;1;1
161;19;4;1;1
13;21;4;2;2
24;22;4;1;1
18;25;4;1;1
13;25;4;1;1
24;26;4;1;1
24;26;4;1;1
30;28;4;1;2
13;28;4;1;1
13;29;4;1;1
24;29;4;1;2
18;29;4;1;1
13;1;5;1;2
13;2;5;2;3
18;3;5;1;1
24;6;5;1;2
13;6;5;1;1
13;9;5;1;1
18;9;5;1;1
18;11;5;1;1
24;13;5;2;1
13;13;5;1;1
96;14;5;1;1
160;16;5;1;1
19;16;5;1;2
18;18;5;1;2
24;19;5;1;2
24;21;5;1;2
13;23;5;2;1
161;23;5;1;1
161;24;5;1;1
18;24;5;1;1
160;25;5;1;2
13;27;5;2;1
18;27;5;1;2
13;27;5;1;1
29;29;5;1;1
18;30;5;1;1
29;30;5;1;1
161;30;5;1;1
18;30;5;1;2
13;30;5;3;2
18;31;5;1;1
24;1;6;1;1
13;1;6;1;2
11;2;6;1;1
21;6;6;1;1
13;6;6;2;1
160;7;6;1;1
18;7;6;1;1
18;8;6;1;1
24;8;6;1;1
48;10;6;2;1
29;11;6;1;1
29;12;6;1;1
18;13;6;1;1
13;14;6;2;1
18;16;6;1;1
13;16;6;1;1
13;16;6;1;2
13;19;6;1;2
24;19;6;1;2
48;20;6;1;1
18;20;6;1;1
24;22;6;1;1
48;23;6;2;1
18;24;6;1;1
24;24;6;1;1
24;26;6;1;1
161;30;6;1;1
24;30;6;1;1
18;2;7;1;1
18;3;7;1;1
30;4;7;2;1
13;6;7;1;2
11;7;7;2;1
13;8;7;1;2
13;10;7;1;3
24;10;7;1;1
24;12;7;1;1
13;12;7;1;1
24;13;7;1;2
34;14;7;1;3
30;14;7;1;2
13;18;7;2;1
13;21;7;2;1
13;22;7;2;2
29;30;7;1;1
13;30;7;1;1
19;30;7;1;1
24;31;7;1;1
24;2;8;1;1
18;3;8;1;1
30;3;8;1;2
18;4;8;1;2
13;4;8;2;2
13;4;8;1;1
21;5;8;1;1
13;5;8;2;2
13;6;8;1;1
96;8;8;1;1
6;9;8;1;1
13;10;8;3;3
13;11;8;2;1
13;12;8;2;1
13;12;8;1;2
13;13;8;1;1
48;13;8;1;1
96;15;8;1;1
18;15;8;1;1
13;16;8;1;2
161;16;8;1;1
24;18;8;1;2
13;18;8;2;1
41;21;8;1;1
11;22;8;2;1
30;22;8;1;1
6;25;8;1;1
21;25;8;1;1
96;25;8;1;1
21;27;8;2;2
19;27;8;2;3
29;29;8;1;1
36;30;8;1;1
18;30;8;1;1
13;30;8;1;2
13;31;8;1;2
19;1;9;1;3
161;3;9;1;1
13;4;9;2;1
30;4;9;1;2
24;4;9;1;1
13;6;9;1;1
18;7;9;1;1
13;7;9;1;2
6;9;9;1;1
24;9;9;1;1
13;14;9;2;1
96;15;9;1;1
18;16;9;1;1
13;16;9;1;1
13;19;9;2;1
31;19;9;3;3
24;19;9;2;1
45;19;9;3;2
18;21;9;1;2
13;21;9;1;2
6;21;9;1;2
24;21;9;2;1
18;23;9;1;2
29;23;9;1;1
19;24;9;1;3
13;25;9;2;1
30;29;9;2;1
13;29;9;2;1
24;29;9;2;1
18;29;9;1;1
96;29;9;2;1
29;30;9;1;1
18;3;10;1;1
24;3;10;1;2
96;4;10;1;1
13;4;10;2;2
41;4;10;1;1
13;4;10;2;2
29;6;10;1;1
13;8;10;1;1
21;10;10;1;1
13;11;10;1;2
18;11;10;2;1
29;11;10;1;1
18;11;10;1;1
13;13;10;1;1
161;13;10;1;1
13;14;10;2;1
30;14;10;1;2
13;14;10;1;1
13;15;10;1;1
29;15;10;1;1
18;19;10;1;1
24;20;10;1;2
96;20;10;1;1
18;21;10;1;1
161;22;10;1;1
13;23;10;1;1
48;24;10;2;2
29;25;10;1;1
18;25;10;1;2
18;25;10;1;1
18;27;10;1;1
18;27;10;1;2
11;28;10;1;2
6;29;10;1;1
13;30;10;1;1
36;1;11;1;1
24;3;11;1;2
6;3;11;1;2
30;4;11;1;1
13;5;11;1;1
30;6;11;1;2
18;7;11;1;1
30;8;11;1;1
38;8;11;1;1
18;8;11;3;3
13;10;11;2;1
30;11;11;2;2
19;11;11;1;2
96;13;11;1;1
21;13;11;1;1
24;13;11;1;1
24;13;11;1;1
6;14;11;1;1
18;15;11;1;2
6;15;11;1;2
161;17;11;1;1
96;17;11;1;1
161;17;11;1;1
18;19;11;1;1
18;21;11;1;1
13;22;11;2;2
29;24;11;1;1
29;24;11;1;1
29;26;11;1;1
48;28;11;1;2
29;29;11;1;1
96;29;11;1;1
160;30;11;1;3
40;2;12;1;2
21;2;12;1;1
18;2;12;1;1
19;2;12;1;3
18;4;12;1;1
160;5;12;1;3
24;5;12;1;2
24;5;12;1;1
13;5;12;1;2
13;8;12;2;2
18;8;12;1;1
19;8;12;1;3
13;9;12;1;1
13;9;12;1;1
19;10;12;1;1
36;11;12;1;1
30;12;12;1;2
34;13;12;1;1
96;13;12;1;2
18;13;12;1;1
6;14;12;1;2
13;14;12;2;1
24;17;12;1;1
96;18;12;1;1
18;19;12;1;1
13;19;12;1;1
13;19;12;1;1
161;20;12;1;1
13;21;12;1;2
32;23;12;1;1
13;23;12;1;1
13;26;12;1;1
24;27;12;1;1
13;28;12;2;1
96;29;12;1;1
13;30;12;1;1
18;30;12;1;1
13;2;1;1;2
30;4;1;2;1
13;5;1;1;1
24;6;1;1;2
24;7;1;1;1
21;9;1;1;1
13;9;1;1;2
24;11;1;1;1
18;11;1;1;2
18;11;1;1;1
24;12;1;1;1
30;13;1;1;1
24;13;1;1;1
38;14;1;1;1
161;18;1;1;1
18;20;1;1;1
18;22;1;1;1
18;22;1;1;1
13;24;1;2;2
30;24;1;2;1
24;28;1;1;1
6;28;1;1;2
13;30;1;1;1
11;31;1;1;1
161;2;2;1;1
24;2;2;1;1
96;2;2;1;1
24;3;2;1;1
13;3;2;1;1
11;3;2;1;1
96;3;2;1;2
29;4;2;1;1
24;6;2;1;1
13;6;2;2;1
162;7;2;1;2
29;10;2;1;1
13;11;2;1;1
29;12;2;1;1
96;13;2;1;2
29;13;2;1;2
24;14;2;1;1
13;17;2;1;1
96;17;2;1;1
36;17;2;1;1
13;17;2;1;1
96;17;2;1;1
18;19;2;1;1
29;20;2;1;1
18;21;2;2;2
13;22;2;2;1
18;23;2;1;2
96;23;2;1;2
19;25;2;1;2
24;26;2;2;1
21;26;2;1;1
24;28;2;1;1
24;2;3;1;1
13;3;3;2;2
18;5;3;1;1
18;5;3;1;2
18;7;3;1;1
161;7;3;1;1
6;7;3;1;3
96;10;3;1;1
24;12;3;1;1
24;13;3;1;1
161;13;3;1;1
11;14;3;1;2
29;14;3;1;1
13;14;3;2;2
18;18;3;1;1
13;19;3;1;1
38;20;3;1;1
13;22;3;2;1
24;24;3;1;1
13;25;3;1;1
18;26;3;1;1
30;29;3;1;1
13;29;3;2;1
13;30;3;2;1
18;2;4;1;1
47;2;4;1;1
24;4;4;1;1
34;5;4;1;1
24;8;4;2;1
162;9;4;1;1
18;10;4;1;1
29;11;4;1;1
29;12;4;1;1
13;16;4;1;2
13;17;4;1;1
34;19;4;1;1
24;21;4;1;2
24;21;4;1;1
30;23;4;1;1
13;24;4;1;1
13;26;4;1;1
13;26;4;1;1
19;26;4;1;3
18;27;4;1;1
13;27;4;1;1
13;27;4;2;1
13;28;4;1;1
6;3;5;1;1
18;6;5;1;1
18;6;5;1;1
24;7;5;2;1
18;8;5;1;1
13;9;5;1;1
13;9;5;1;1
24;9;5;1;1
29;9;5;1;1
18;10;5;1;2
13;10;5;1;1
24;12;5;1;1
24;12;5;1;2
48;13;5;2;1
45;15;5;1;1
13;16;5;1;1
24;17;5;1;2
161;18;5;1;1
24;20;5;1;1
13;22;5;1;1
30;24;5;1;2
13;25;5;1;2
13;25;5;1;2
13;26;5;1;1
13;27;5;2;1
13;27;5;1;2
13;31;5;3;2
29;1;6;1;1
13;1;6;1;2
13;2;6;2;3
24;2;6;1;2
38;3;6;1;1
18;5;6;1;1
24;7;6;1;1
24;7;6;1;1
13;8;6;1;2
24;10;6;1;1
13;11;6;1;1
24;12;6;1;2
49;12;6;1;3
18;12;6;1;2
13;13;6;2;2
18;13;6;1;1
18;13;6;1;1
21;14;6;1;1
161;14;6;1;1
24;14;6;1;1
24;15;6;2;1
13;18;6;1;1
18;20;6;1;2
13;21;6;2;2
29;24;6;1;1
13;25;6;1;1
18;26;6;1;1
13;26;6;1;2
18;28;6;1;1
18;29;6;1;1
24;29;6;2;1
13;4;8;1;1
161;4;8;1;1
18;6;8;1;1
18;10;8;1;1
27;11;8;1;2
24;13;8;1;2
13;15;8;2;1
30;16;8;1;1
24;16;8;2;1
18;17;8;1;2
30;19;8;2;2
162;20;8;1;1
18;20;8;1;2
24;22;8;1;2
13;22;8;2;1
13;23;8;2;1
24;23;8;3;1
30;24;8;1;1
13;24;8;1;1
29;25;8;1;1
24;25;8;1;2
18;26;8;1;1
30;28;8;1;1
31;29;8;1;2
13;30;8;2;1
24;30;8;2;1
24;30;8;1;2
24;30;8;1;2
18;30;8;1;1
13;1;7;1;1
13;4;7;2;2
96;4;7;1;1
18;5;7;1;1
13;6;7;1;1
24;7;7;1;2
29;8;7;1;1
11;10;7;2;2
18;10;7;1;1
21;11;7;1;1
29;12;7;1;1
19;13;7;1;1
24;14;7;1;1
13;16;7;1;1
162;18;7;1;1
18;18;7;1;1
18;18;7;1;2
13;20;7;2;1
24;21;7;1;2
96;22;7;1;1
13;24;7;1;2
48;25;7;1;2
29;26;7;1;1
18;26;7;1;2
6;26;7;1;2
161;27;7;1;1
13;27;7;1;1
13;29;7;1;1
13;4;9;1;1
13;7;9;2;2
13;13;9;1;1
13;14;9;2;1
24;14;9;1;1
18;15;9;1;1
24;15;9;1;1
24;15;9;1;1
24;15;9;2;1
13;15;9;1;1
13;15;9;2;1
24;17;9;1;1
24;18;9;1;1
13;18;9;1;2
13;19;9;2;1
13;19;9;1;1
36;20;9;1;1
13;20;9;1;1
18;21;9;1;1
161;22;9;1;1
13;22;9;2;2
13;23;9;2;2
29;23;9;1;1
6;23;9;1;1
13;24;9;1;1
13;25;9;2;1
21;25;9;1;1
18;26;9;1;2
38;27;9;1;1
24;27;9;2;1
38;28;9;1;1
13;29;9;2;1
29;29;9;1;1
24;30;9;1;1
18;1;10;1;1
24;1;10;1;3
24;1;10;1;1
18;2;10;1;2
18;2;10;1;1
13;2;10;1;2
30;3;10;1;1
24;4;10;1;1
13;6;10;1;1
38;7;10;1;2
161;7;10;1;1
13;8;10;2;1
18;8;10;1;1
29;10;10;1;1
11;10;10;1;1
18;11;10;1;1
13;11;10;1;1
13;11;10;1;1
18;12;10;1;1
29;12;10;1;1
13;16;10;2;2
24;17;10;1;1
6;17;10;1;2
13;17;10;2;2
24;17;10;1;1
6;18;10;1;1
161;19;10;2;1
18;19;10;1;1
34;20;10;1;1
13;21;10;2;1
13;23;10;1;2
18;24;10;1;2
13;24;10;1;1
18;25;10;1;1
13;25;10;2;1
24;27;10;1;2
29;29;10;1;1
13;30;10;1;1
13;31;10;1;2
6;31;10;1;2
29;1;11;2;1
24;1;11;1;1
13;2;11;1;2
41;2;11;1;1
18;4;11;1;1
48;6;11;1;2
18;8;11;1;1
13;8;11;2;2
29;8;11;1;1
13;9;11;1;1
11;9;11;1;1
29;10;11;1;1
29;11;11;1;1
30;11;11;1;3
18;13;11;1;1
18;13;11;1;2
24;14;11;1;2
18;14;11;1;1
29;18;11;1;1
13;19;11;2;1
13;19;11;1;2
18;21;11;1;1
40;21;11;1;3
13;21;11;1;1
18;22;11;1;2
36;22;11;1;1
13;22;11;2;2
29;23;11;1;1
36;23;11;1;1
13;23;11;1;1
13;24;11;1;1
48;28;11;1;1
24;28;11;1;2
18;29;11;1;1
18;30;11;1;1
29;30;11;1;1
96;1;12;1;1
30;1;12;1;1
30;3;12;1;1
13;4;12;2;2
13;6;12;1;1
13;7;12;2;3
160;8;12;1;1
24;8;12;1;1
24;8;12;1;2
96;11;12;1;2
161;12;12;1;1
24;12;12;2;1
30;13;12;1;3
18;15;12;1;2
38;15;12;1;1
18;18;12;1;1
13;19;12;1;1
161;19;12;1;1
161;19;12;2;1
29;21;12;1;1
48;21;12;1;1
24;23;12;1;2
29;29;12;1;1
13;29;12;1;1
96;30;12;1;1
96;2;1;1;1
18;2;1;1;1
36;3;1;1;1
18;4;1;1;1
29;6;1;1;1
13;7;1;1;2
13;7;1;1;1
29;8;1;1;1
30;9;1;1;1
24;10;1;1;1
11;11;1;3;1
29;11;1;1;1
13;13;1;1;2
29;14;1;1;1
13;14;1;1;1
30;17;1;1;1
24;18;1;1;2
13;19;1;1;1
18;20;1;1;1
13;23;1;2;1
18;23;1;1;1
18;24;1;1;1
6;25;1;1;1
30;26;1;1;1
6;26;1;1;2
162;27;1;1;2
18;29;1;1;1
160;29;1;1;2
36;29;1;1;1
30;31;1;1;1
34;1;2;1;1
18;1;2;1;1
38;5;2;1;1
96;5;2;1;1
13;6;2;2;2
18;6;2;1;1
13;6;2;1;1
13;7;2;2;1
18;7;2;1;1
13;9;2;1;2
96;11;2;1;1
13;12;2;1;1
30;13;2;1;1
24;14;2;1;1
161;16;2;1;1
24;19;2;1;1
161;21;2;1;1
13;21;2;1;1
41;22;2;1;1
18;22;2;1;1
13;22;2;1;1
30;22;2;1;3
21;24;2;1;1
13;25;2;2;2
13;26;2;2;1
21;1;3;1;1
161;1;3;1;1
18;2;3;1;1
13;4;3;1;1
13;6;3;2;1
38;8;3;1;1
13;8;3;1;2
